Reality Research,"Portfolio Management,Algo-Trading,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/reality-research_fc27c49d5f8bd650.png,"Real Estate Investment Data,Stock & Market Data,Economic Data,Real Estate Data"
RegAlytics,Supplier Risk,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/regalytics_bf2293f327496e13.jpeg,"Environmental Data,Political Data,,Economic Data"
regulation technologies,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/regulation-technologies_9e7188635981a3fe.jpeg,"Company Data,,B2B Intent Data,Business Registry Data"
Reklaim,"Targeted Marketing,MFA Security,Mobile App Development,Lead Scoring",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/killi_448e190b4237278c.jpeg,"Individual Data,Identity Data,Consumer Lifestyle Data,,Consumer Survey Data,App Data,IP Data,Online/Mobile Data,Cross-Device Identity Data"
Reomnify,Property Future Value & Mortgage Value Assessment,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/reomnify_96ba20874e20106d.png,"Location Data,Economic Data,Real Estate Investment Data,Real Estate Data,Stock & Market Data"
Retargetly,"Targeted Marketing,Remarketing Campaigns",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/retargetly_eaa64ac9ad534435.svg,"Demographic Data,Individual Data,Identity Data,,Location Data,Marketing Attribution Data,Consumer Lifestyle Data,App Data,Website Data"
RIMES Technologies,"Supplier Risk,B2B Credit Risk,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/rimes-technologies_7d18cc4e1ae1fadd.png,"Stock & Market Data,Economic Data"
RingLead,Lead Scoring,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/broadlook-ringlead_913a89e5b74bb025.svg,"Company Data,B2B Data,,Individual Data,Firmographic Data"
Risklio,"Portfolio Management,Supplier Risk,Algo-Trading,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/risklio_8c3ce62ae3f4e8fb.png,"Stock & Market Data,Trade Data,Economic Data,"
RIWI,"Portfolio Management,Predictive Maintenance,Product Performance Forecasting,Trend Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/riwi-data_aa5b945acc5edb79.jpg,"Social Media Sentiment Data,,Economic Data,Individual Data,Consumer Lifestyle Data,Legal and IP Data"
Rocks & Gold,"Account-Based Marketing,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/rocks-gold_e961296c92b3f707.jpeg,"B2B Intent Data,B2B Data,Economic Data,Technographics Data,Employment Data,Company Data"
RootMetrics,"V2X Technology,Hedge Fund Management,Trend Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/rootmetrics_5c04f7c2fed1b024.png,",Automotive Industry Data"
Roq.ad,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/roq-ad.jpg,"Identity Data,Individual Data,Cross-Device Identity Data"
Royal Map,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/royal-map_d16e123be2aef7bc.png,"Retail & Commerce Data,,Tourism Data,Economic Data,Healthcare Data,Map Data,Agriculture Data"
RoyaltyStat,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/royaltystat_6718ca0e3b957aaa.png,"Legal and IP Data,Economic Data,Patent Data"
RS Metrics,Waste Management System,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/rs-metrics_ae6dc7f541d79f60.jpg,"Environmental Data,,Climate and Weather Data"
Rubix Data Sciences,"Supplier Risk,B2B Credit Risk,Supply Chain Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/rubix_59137e197fb46a64.jpeg,",Business Credit Rating Data,Business Registry Data,Company Data,Firmographic Data"
Salutary Data,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/salutary-data_a4d5c795b35108cb.JPG,"B2B Data,Employment Data"
ScaleCampaign,"Property Future Value & Mortgage Value Assessment,Supplier Risk,Trend Forecasting,Account-Based Marketing,Campaign Strategy,Online and Social Media Performance Tracking,Lead Scoring",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/walklists_8d7d5a653236b19e.jpeg,"Individual Data,Real Estate Investment Data,,Real Estate Data,Consumer Lifestyle Data,Automotive Industry Data,Political Poll Data,Political Data"
Scanlife,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/scanlife-by-scanbuy_55db02e18e924fd0.PNG,"Demographic Data,Company Data,,Retail & Commerce Data"
Scrapehero,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/scrapehero.png,"Company Data,C2C E-Commerce Data,Website Data,Employment Data,"
Sensefolio,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/sense-folio_07b5efbd282a2e60.jpg,"Company Data,Energy Data,Environmental Data,Economic Data"
Sentifi,"Supplier Risk,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/sentifi_86c956d907b208e4.png,"Social Media Sentiment Data,Environmental Data,Economic Data,Social Data"
SerpApi,"Competitor Analysis,Pricing Optimization",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/serpapi_80c93b2ac61f848d.png,"SEO & Web Advertising Data,Web Data,"
Serpstat,"Product Performance Forecasting,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/serpstat_c66273b8692bd925.png,"Web Data,SEO & Web Advertising Data,Website Traffic Data,Website Data"
SETLD,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/setld_e927c3d5339f687e.png,",Energy Data"
sferro,"Persona Detection/Segmentation,MFA Security,Online and Social Media Performance Tracking,Targeted Marketing,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/sferro_3d852e2f301ae8ae.jpeg,"Demographic Data,,Individual Data,Consumer Lifestyle Data,Marketing Attribution Data,Identity Data"
ShAIp,"AI Chatbots,V2X Technology",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/shaip_938567f622c41160.jpg,"Retail & Commerce Data,,Healthcare Data,EHR Data,Clinical Trial Data,Medical Imagery Data,Patient Data"
ShipsDNA,"Portfolio Management,Supplier Risk,Smart Ship,Lead Scoring,Supply Chain Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/shipsdna_9e31044f797c0b43.jpeg,"Maritime Industry Data,Company Data,B2B Marketing Fit Data,Business Registry Data,Industry-Specific Data,B2B Data,"
Shopgram,"Product Performance Forecasting,Account-Based Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/shopgram_c018e44db3a0d22e.jpeg,"B2B Marketing Fit Data,B2B Data,"
Show!,Persona Detection/Segmentation,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/show_606462c582cc98b8.jpeg,TV Streaming Rating Data
SIGWATCH,Algo-Trading,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/sigwatch_dcc89e2496b4b03c.jpg,"Environmental Data,Economic Data,"
Skuuudle,"Competitor Analysis,Pricing Optimization",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/skuuudle_dc07bc3f145a65b6.png,"C2C E-Commerce Data,,Retail & Commerce Data,Web Data"
Slintel,Lead Scoring,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/slintel_f8e1626c0526c609.png,"B2B Intent Data,"
SMARTe,Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/17156676_G.png,"Company Data,Marketing Attribution Data,B2B Marketing Fit Data,B2B Data"
Snapbizz,Competitor Analysis,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/snapbizz_14e90963df8b02f7.png,"Retail & Commerce Data,Company Data,Product Review Data"
Social Market Analytics,Algo-Trading,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/social-market-analytics.png,",Legal and IP Data,Social Data"
Social Subsidy,Hedge Fund Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/social-subsidy_2afd5d6023c6c990.JPG,"Environmental Data,Economic Data,Stock & Market Data"
SocialSentiment.io,"Portfolio Management,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/socialsentiment-io_40b2deecda42daba.png,"Social Media Sentiment Data,Stock & Market Data,Social Data"
Soleadify,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/soleadify_53d291aa20d3fada.jpeg,"Business Registry Data,,B2B Data"
Solipay,"Persona Detection/Segmentation,Targeted Marketing,Trend Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/solipay_0808bc2810c31389.png,"Demographic Data,Email Data,Web Data,Consumer Lifestyle Data,Website Traffic Data"
Sovrn,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/sovrn_82f5f8673c1f7624.png,"Individual Data,Economic Data"
Span Global Services,Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/span-global-services_fd0fb2ab64e90e2d.jpg,"B2B Marketing Fit Data,Business Registry Data,Healthcare Data,,B2B Data,Firmographic Data,B2B Intent Data,Technographics Data,Employment Data"
SpazioDati,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/spaziodati_44f69f5848011161.jpg,"Social Data,Website Data"
Speedeon Data,"Online and Social Media Performance Tracking,Persona Detection/Segmentation,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/speedeon-data_41973fb9b2c36626.png,"Demographic Data,Individual Data,,Real Estate Data,Marketing Attribution Data,Consumer Lifestyle Data"
Spiceworks Ziff Davis (SWZD),Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/spiceworksziffdavis_097ceab75ef6d0a3.png,"B2B Intent Data,B2B Data,B2B Marketing Fit Data"
SportMonks,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/sportmonks_ab92a6f6087a09bb.png,"Stock & Market Data,Sports Betting Data,Esports Data"
StageZero,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/stagezero_c5f430f1426c2c45.jpeg,",Employment Data"
Stamdata,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/stamdata_2d53de02463ced3d.png,"Company Data,Stock & Market Data,Economic Data,,Employment Data"
start.io,"Hedge Fund Management,Targeted Marketing,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/startapp-soda_9f30a44579e271b7.png,",Company Data,Location Data,Online/Mobile Data,Individual Data,App Data,IP Data,Identity Data"
StockPulse,"Portfolio Management,AI Financial Planning Program",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/stockpulse_1130f1c9c960c136.png,"Economic Data,"
Storm Glass,Smart Ship,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/storm-glass_f9700a863380f114.png,"Climate and Weather Data,"
Sulpetro,"Pricing Optimization,Supply Chain Management,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/sulpetro_6bd5895b462cf44e.png,"B2B Marketing Fit Data,Energy Data,Industry-Specific Data,B2B Intent Data,,Commodity Market Data"
Sustainable Platform,"Portfolio Management,Supplier Risk,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/sustainable-platform_06d183d2e1d98a9e.png,"Company Data,,Climate and Weather Data,Environmental Data"
Swash,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/swash_6c3512549b39149d.png,",SEO & Web Advertising Data"
TagX,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/tagx_e68fb217915887f6.png,"Economic Data,Retail & Commerce Data,Automotive Industry Data"
Tamoco,"Targeted Marketing,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/tamoco_4be894330c019d6f.png,"Location Data,,Online/Mobile Data,Foot Traffic Data"
TAUS,AI Language Learning Programs,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/taus_a00e5c81fb3b400f.jpeg,"C2C E-Commerce Data,Legal Case Data,"
Technology Evaluation Centers (TEC),"Account-Based Marketing,Lead Scoring",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/technology-evaluation-centers-tec_23ab9ca7c112a597.png,"Business Registry Data,B2B Data"
Techsalerator,Targeted Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/techsalerator_d31bac0c1d70047b.jpeg,"Demographic Data,,Individual Data,Company Data,B2B Marketing Fit Data,Business Registry Data,Firmographic Data,Website Data,B2B Data"
Televisory,"Portfolio Management,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/televisory_fffac8ffaf8ff1c5.png,"Economic Data,Energy Data,Company Data,Retail & Commerce Data,Industry-Specific Data,Stock & Market Data,Firmographic Data"
Teragence,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/teragence_7f0e9cbce6c382df.png,
The Data Appeal Company,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/the-data-appeal-company_54bf5f48579fd719.png,"Company Data,Social Media Sentiment Data,"
The Data Group,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/the-data-group_c0a4c3a37cdb6a85.png,"Individual Data,Real Estate Data,Real Estate Investment Data,Identity Data,,Cross-Device Identity Data"
The Economist Intelligence Unit,Promotion Planning,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/the-economist-intelligence-unit_1b99a6390b534f79.png,Healthcare Data
The Warren Group,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/the-warren-group_6b556e95e5576189.jpeg,Real Estate Data
TheSports,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/thesports_dfdf8729dc505e2b.jpeg,"Stock & Market Data,Sports Betting Data,Esports Data"
ThinkCX,"Targeted Marketing,Online and Social Media Performance Tracking,Marketing Localization Strategy",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/thinkcx_9d7a555a537eb98b.png,",Demographic Data,Marketing Attribution Data"
Throtle,"Targeted Marketing,Trend Forecasting,MFA Security,Online and Social Media Performance Tracking",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/throtle_e243a1b0486bdf18.png,"Demographic Data,Individual Data,Sports & Entertainment Data,,Identity Data,Consumer Lifestyle Data,TV Streaming Rating Data"
TL1,"Online and Social Media Performance Tracking,Trend Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/tl1_a5bad24f349a3891.png,",Sports & Entertainment Data,Online/Mobile Data,Individual Data,App Data,Consumer Lifestyle Data,Web Data,Identity Data,Social Data"
Topstonks,"Algo-Trading,Portfolio Management,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/topstonks_641140c64d13e89a.png,"Stock & Market Data,Trade Data,Economic Data,"
TovoData,"Targeted Marketing,Property Future Value & Mortgage Value Assessment,Lead Scoring",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/tovodata_51085b74e4c81eee.png,"Real Estate Investment Data,Real Estate Data,,Individual Data,Marketing Attribution Data,Legal and IP Data"
Tradefeeds,"Portfolio Management,Competitor Analysis,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/tradefeeds_8a425c976d403c4c.jpg,"Company Data,Stock & Market Data,Business Registry Data,Economic Data,,Business Credit Rating Data"
Trading Volatility,"Portfolio Management,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/trading-volatility_055c6a19b3211373.png,"Stock & Market Data,Trade Data,Economic Data,Legal and IP Data"
Traject Data,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/traject_20367db7d2f76fcb.svg,"Healthcare Data,Individual Data,SEO & Web Advertising Data,,Political Data,Web Data"
TRAK Data,Targeted Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/trak-data_1900c64d3fbbc28b.jpeg,",Individual Data,Marketing Attribution Data,Demographic Data,Email Data,Consumer Lifestyle Data,IP Data,Political Poll Data,Real Estate Data,Automotive Industry Data,Political Data"
Transparent Data,"B2B Credit Risk,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/transparent-data_eecb61b3e71e9dec.png,"Company Data,Business Registry Data,Political Data,,Consumer Lifestyle Data"
TripleOak,Algo-Trading,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/tripleoak_7f898954694dae94.jpeg,"Company Data,Stock & Market Data"
Triquantity,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/triquantity_94a974644d8b9df3.jpeg,"Real Estate Data,Economic Data,Industry-Specific Data"
Twelve Data,"Supplier Risk,Algo-Trading",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/twelve-data_306d8d69509d1ea7.png,"Stock & Market Data,Foreign Exchange Market Data,Economic Data,"
USLandGrid,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/uslandgrid_d6d5044ce0ffbdf8.jpeg,"Real Estate Data,Legal and IP Data,"
Venturecap Insights,"Portfolio Management,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/venturecap-insights_159df82a94cc57e6.jpeg,"Email Data,Business Registry Data,,Company Data,Business Credit Rating Data"
Versium,Targeted Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/versium_5d076dcd3fac7a03.png,"Website Data,Firmographic Data,Business Registry Data,B2B Data,IP Data"
ViralMoment,Trend Forecasting,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/viralmoment_cbb25edfb64bf36f.png,"Individual Data,,Stock & Market Data,Social Data"
Virtual World Computing,"Targeted Marketing,Lead Scoring",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/viritual-world-computing_5b141a4db416e275.jpeg,"Demographic Data,,Psychographics Data,Email Data"
Wersel Brand Analytics,"Product Performance Forecasting,Pricing Optimization,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/wersel-brand-analytics_126719069df61130.png,"Hospitality Industry Data,Tourism Data,Product Review Data,,Economic Data,Web Data,Stock & Market Data,Aerospace Industry Data,Social Data,App Data,C2C E-Commerce Data"
X-Byte,"Property Future Value & Mortgage Value Assessment,Trend Forecasting,Pricing Optimization,Online and Social Media Performance Tracking,Competitor Analysis,Hedge Fund Management,Behavioral Targeting,Price Segmentation Strategy,Account-Based Marketing,Predictive Maintenance,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/x-byte_c5ba6436f94e1462.png,"Tourism Data,Hospitality Industry Data,Real Estate Data,Automotive Industry Data,Real Estate Investment Data,Retail & Commerce Data,TV Streaming Rating Data,Company Data,,Individual Data,B2B Data,GPS Data,Web Data,Social Media Sentiment Data,Aerospace Industry Data,Social Data,App Data,C2C E-Commerce Data,Business Registry Data,Economic Data,Sports & Entertainment Data"
xavvy,"Competitor Analysis,Pricing Optimization",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/incs_4c2fc47c13925de7.png,Energy Data
Yacodata,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/yacodata_6c2fbc2c5485ec95.png,"Stock & Market Data,Economic Data"
Ziggma,"Algo-Trading,Portfolio Management,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/ziggma_36c1f91fb1ed09f3.png,"Economic Data,Stock & Market Data,Legal and IP Data,"
ZIGRAM,Supplier Risk,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/zigram_2467f0d1fec8cfd0.jpeg,",Political Data,Economic Data,News Data,Environmental Data,Legal Case Data"
