,post_title,use_case,data_category,related_data_sets,data_provider
1378,First Investment Company Financial Data,,,,First Investment Company
1379,Fiserv Payment Solutions,,,,Fiserv
1380,Fiserv Processing Services,,,,Fiserv
1381,Fitch Ratings Criteria,,,,Fitch Ratings
1382,FleetMon FleetMon Explorer,,,,FleetMon
1383,Flipside Business Intelligence for Blockchains,,,,Flipside
1384,Flipside Data Cooperative,,,,Flipside
1385,Floating Point Group Core API Components,,,,Floating Point Group
1386,Fluent Audience Now,,,,Fluent
1387,Fluent Mobile User Acquisition,,,,Fluent
1388,FMCG Direct Consumer Direct Mail Campaigns,,,,FMCG Direct
1389,FMCG Direct Small Business Direct Mail Campaigns,,,,FMCG Direct
1390,FooDB FooDB,,,,FooDB
1391,Football-Data Historical Data,,,,Football-Data
1392,Football-Data Livescore,,,,Football-Data
1393,FourLetter Sales Leads,,,,FourLetter
1394,FourLetter Sales Training,,,,FourLetter
1395,Foursquare Attribution,,,,Foursquare
1396,Foursquare Pinpoint/Audiences,,,,Foursquare
1397,Free POI Data: SafeGraph Core Places - Entire Canada (Essential Columns),,,,SafeGraph
1398,"Freight Data - Reach the Decision Makers from Freight Services Industry With Our Accurate Freight Data, Verified Business Records",,,,Blue Mail Media
1399,"FrescoData Consumer People Data (B2C Contacts)Global Data, 3.6B+ Contacts",,,,FrescoData
1400,FrescoData Data Validation,,,,FrescoData
1401,FrescoData Data-Driven Marketing,,,,FrescoData
1402,"FrescoData Direct Mail Marketing (Consumer Intent Based Attributes/Lifestyle Data)Global Audiences, 10K+ Attributes",,,,FrescoData
1403,FrescoData Email Marketing - Consumer B2C Data10K+ Audience Attributes,,,,FrescoData
1404,FrescoData PII Data for Global Identity Verification,,,,FrescoData
1405,Froglabs Technology AI,,,,Froglabs
1406,FullContact Enrich,,,,FullContact
1407,FullContact Resolve,,,,FullContact
1408,Fullfilment by TrackStar: Consumer Credit Rating Data Service for USA (15 years of historical coverage),,,,TrackStar
1409,Fully Tagged Global Broadcast Transcript / Text Feed (GBTF),,,,TVEyes
1410,Fund for Peace Data for Peace,,,,Fund For Peace
1411,Fund for Peace Fragile States Index,,,,Fund For Peace
1412,FXCM MetaTrader 4,,,,FXCM
1413,FXCM Trading Station,,,,FXCM
1414,Fysical Location Data,,,,Fysical
1415,G2 Business Software and Services Reviews,,,,
1416,G2 Seller Solutions,,,,
1417,G2 Software Database,,,,G2
1418,GameScorekeeper Match Scheduling and Resulting,,,,GameScorekeeper
1419,GameScorekeeper Player Age Service,,,,GameScorekeeper
1420,Gastronomy Databases DB,,,,Gastronomy Databases
1421,GBG Connexus,,,,GBG
1422,GBG Fraud & Compliance Management,,,,GBG
1423,GBG ID3global,,,,GBG
1424,GBG Identity Verification,,,,GBG
1425,GBG IDscan,,,,GBG
1426,GBG Instinct,,,,GBG
1427,GBG KnowYourPeople,,,,GBG
1428,GBG Location intelligence,,,,GBG
1429,GCR Ratings Premium Research,,,,GCR Ratings
1430,GDM Pipelines Oil and Gas Data Solutions,,,,GDM Pipelines
1431,Genscape Energy Data,,,,Genscape
1432,Geoblink 360,,,,Geoblink
1433,Geoblink Data Sources,,,,Geoblink
1434,Geoblink Insights,,,,Geoblink
1435,Geocartography Knowledge Group Feasibility & Market Potential Analysis,,,,Geocartography Knowledge Group
1436,Geocartography Knowledge Group Marketing & Advertising Research,,,,Geocartography Knowledge Group
1437,Geocartography Knowledge Group Service Quality & Customer Experience,,,,Geocartography Knowledge Group
1438,Geocartography Knowledge Group Urban Planning & Renewal,,,,Geocartography Knowledge Group
1439,Geocento EarthImages,,,,Geocento
1440,Geocoder.ca Canadian crowdsourced postal codes geocoded Dataset,,,,Geocoder
1441,Geocoder.ca Real Time Geocoding,,,,Geocoder
1442,GeoCreditIQ by AnalyticsIQ - Consumer Credit Rating Data USA - 241M Individuals,,,,AnalyticsIQ
1443,GeoDir Geocoding,,,,GeoDir
1444,GeoDir Maps,,,,GeoDir
1445,GeoIQ Data APIs,,,,GeoIQ
1446,Geolad Mobile Targeting,,,,Geolad
1447,Geomni Remote sensing and machine learning data analytics,,,,Geomni
1448,GeoQuant Data Science,,,,GeoQuant
1449,GeoRanker Data Mining,,,,GeoRanker
1450,GeoRanker High Volume API,,,,GeoRanker
1451,GeoRanker SEO Tools,,,,GeoRanker
1452,Geospark Analytics Alerts,,,,Geospark Analytics
1453,Geospark Analytics Forecast,,,,Geospark Analytics
1454,Geospark Analytics Hotspots,,,,Geospark Analytics
1455,Geospark Analytics Pulse,,,,Geospark Analytics
1456,Geospatial Insight Drone Watch,,,,Geospatial Insight
1457,Geospatial Insight Retail Watch,,,,Geospatial Insight
1458,Geospatial Insight Tank Watch,,,,Geospatial Insight
1459,Geotab Data and Analytics,,,,Geotab
1460,Geotab Marketplace,,,,Geotab
1461,Geotab Product,,,,Geotab
1462,German Company Data via API from official sources,,,,Implisense
1463,"Get Consumer Data By Household Level, Individual Level and Zip-Code Level, 200M+ Records",,,,Blue Mail Media
1464,GetApp Web,,,,GetApp
1465,Getchee KIWI EasyGo,,,,Getchee
1466,Getchee KIWI Platform,,,,Getchee
1467,GetData.IO Webdata,,,,GetData
1468,GetEmail.IO GetEmailio,,,,GetEmail.IO
1469,GetOnCRM Salesforce Integration,,,,GetOnCRM
1470,GetOnCRM Salesforce Sales Cloud,,,,GetOnCRM
1471,GfK GfKnewron,,,,GfK
1472,GfK Out Of Home Panel,,,,GfK
1473,GfK Point of Scale Tracking,,,,GfK
1474,GIATA Giata Drive,,,,GIATA
1475,GIATA Multicodes,,,,GIATA
1476,GIATA Multilingual Hotel Guide,,,,GIATA
1477,Gig Economy Data Hub Research,,,,Gig Economy Data Hub
1478,Gimbal Ad Platform,,,,Gimbal
1479,Gimbal Data Cloud,,,,Gimbal
1480,Gimbal Location Platform,,,,Gimbal
1481,Gladtrust Credit Monitor,,,,Gladtrust
1482,Gladtrust Credit Reports,,,,Gladtrust
1483,Global B2B Contacts Email Database,,,,Global B2B Contacts
1484,Global B2B Contacts Healthcare List,,,,Global B2B Contacts
1485,Global B2B Contacts Specific Email List,,,,Global B2B Contacts
1486,Global B2B Contacts Technology List,,,,Global B2B Contacts
1487,Global Credit Services ClearPath Credit Solutions,,,,Global Credit Services
1488,Global Database Business Credit Reporting,,,,Global Database
1489,Global Database Funding Database,,,,Global Database
1490,Global Database Sales & Marketing Platform,,,,Global Database
1491,Global Email Lists Data Appended Services,,,,Global Email Lists
1492,Global Financial Data Alternative Historical Data,,,,Global Financial Data
1493,Global Financial Data Economic Data,,,,Global Financial Data
1494,Global Financial Data Historical Data,,,,Global Financial Data
1495,Global Fishing Watch Map & Data,,,,Global Fishing Watch
1496,Global Tenders and Grants funding opportunities from over +400 international donors,,,,Global Database
1497,"Global Text, News, Insider Transaction & Corporate Events Data - RavenPack Analytics 1.0",,,,RavenPack
1498,Global Tone Communication AI Solutions,,,,Global Tone Communication
1499,Global Tone Communication Big Data,,,,Global Tone Communication
1500,Global Tone Communication Language Technology,,,,Global Tone Communication
1501,GlobalCIS Fastcheck,,,,GlobalCIS
1502,GlobalCIS Fullcheck,,,,GlobalCIS
1503,GlobalCIS Nega-Scan,,,,GlobalCIS
1504,GlobalData Competitor Intelligence,,,,GlobalData
1505,GlobalData Market Data and Insights,,,,GlobalData
1506,GlobalData Real-time Intelligence,,,,GlobalData
1507,Globalme Data Services,,,,Globalme
1508,Globalme Localization,,,,Globalme
1509,Globalme Manage Services,,,,Globalme
1510,GlobalWebIndex Custom Research,,,,GlobalWebIndex
1511,GlobalWebIndex Our Data,,,,GlobalWebIndex
1512,Globes TradeOne Data Feed Solutions,,,,Globes TradeOne
1513,Globes TradeOne Market Data Terminal,,,,Globes TradeOne
1514,Goalserve Data API,,,,Goalserve
1515,Good Shepherd Engineering Geographic Information Systems,,,,Good Shepherd Engineering
1516,Good To Give - Animal Welfare Donors,,,,AmeriBase
1517,Google Dataset Search,,,,Google
1518,Google Places API,,,,Google
1519,Gourmet Ads Programmatic Advertising,,,,Gourmet Ads
1520,GovSpend Government database,,,,GovSpend
1521,Gracenote Global Video Data,,,,Gracenote
1522,Grand View Research Market research,,,,Grand View Research
1523,GranData Social Universe,,,,GranData
1524,Granular AI Toolkit,,,,Granular
1525,Grapeshot Oracle Cloud Infrastructure,,,,Grapeshot
1526,Graphinium CRM4D,,,,Graphinium
1527,Graticule Health Systems,,,,Graticule
1528,Graticule Life Sciences,,,,Graticule
1529,Graticule Medical Devices,,,,Graticule
1530,Gravy Analytics AdmitOne,,,,Gravy Analytics
1531,Gravy Analytics Custom Area Visitors Global -- analyze foot traffic trends for custom areas via API or batch delivery,,,,Gravy Analytics
1532,Gravy Analytics Custom Audience Creation USA & Canada -- intent audiences based on consumer visits to real-world places,,,,Gravy Analytics
1533,Gravy Analytics Observations Data | People Movement (US and Global),,,,Gravy Analytics
1534,"Gravy Analytics Trade Area Data Globally -- analyze where consumers travel from to shop, dine, and visit other places of commercial interest.","Trend Forecasting,Economic Forecasting,,Promotion Planning","Individual Data,Tourism Data,Real Estate Data","Gravy Analytics Custom Area Visitors Global -- analyze foot traffic trends for custom areas via API or batch delivery        by Gravy Analytics      ,TravelIQ by AnalyticsIQ - Consumer Travel Data USA - 118M Households        by AnalyticsIQ      ,Echo Analytics - Raw Points-of-Interest Data in Europe        by Echo Analytics      ,Tamoco Store Visits USA | visitation data to brands and Point-of-Interests        by Tamoco      ",Gravy Analytics
1535,Gravy Analytics Visitations Data | Mobile Location Data USA (cleansed & highly-contextualized),,,,Gravy Analytics
1536,Graydon API - Data Integration,,,,Graydon
1537,Graydon Corporate Fraud Intelligence,,,,Graydon
1538,Graydon Graydon Market Information,,,,Graydon
1539,Great Data Lake Geo-Location Information,,,,Great Data Lake
1540,Great Data Lake Mobile Device Data,,,,Great Data Lake
1541,Great Data Lake Predicted or Actual Data,,,,Great Data Lake
1542,GreatSchools Parenting Resources,,,,GreatSchools
1543,GreatSchools Research Reports,,,,GreatSchools
1544,GreatSchools School Information,,,,GreatSchools
1545,Gro Intelligence Gro,,,,Gro Intelligence
1546,Gro Intelligence GRO API,,,,Gro Intelligence
1547,GroundTruth Local Advertising Solutions,,,,GroundTruth
1548,GroundTruth Location-Based Marketing Technology,,,,GroundTruth
1549,GroundTruth Our Data,,,,GroundTruth
1550,GrowByData Ad Intelligence,,,,GrowByData
1551,GrowByData Enforce MAP,,,,GrowByData
1552,GrowByData Price Intelligence,,,,GrowByData
1553,Growth Intelligence The Growth Intelligence Platform,,,,Growth Intelligence
1554,Guía Senior Senior Service,,,,Guía Senior
1555,Guidepoint Data,,,,Guidepoint
1556,Guidepoint Insights,,,,Guidepoint
1557,Guidepoint Phone Consultations,,,,Guidepoint
1558,Gyana Vayu,,,,Gyana
1559,H1 Insights Commercial Marketing,,,,H1 Insights
1560,H1 Insights Hospital Health System,,,,H1 Insights
1561,H1 Insights Medical Affairs,,,,H1 Insights
1562,H2O AutoML,,,,H2O AI
1563,H2O Driverless AI,,,,H2O AI
1564,H2O Sparkling Water,,,,H2O AI
1565,Hanweck Credit Analytics,,,,Hanweck
1566,Hanweck Historical Options Data,,,,Hanweck
1567,Hanweck Portfolio & Margin Analytics,,,,Hanweck
1568,Harte Hanks Analytics Insights & Data,,,,Harte Hanks
1569,Harte Hanks Marketing Technology,,,,Harte Hanks
1570,Harte Hanks Strategy,,,,Harte Hanks
1571,Have I Been Pwned Domain Search,,,,Have I Been Pwned
1572,HazardHub API,,,,HazardHub
1573,HDScores App,,,,HDScores
1574,HealRWorld Data and Insights,,,,HealRWorld
1575,HealRWorld SaaS Advanced Geo-Analytics Platform,,,,HealRWorld
1576,HealRWorld Sustain Planet Earth Committed,,,,HealRWorld
1577,"Healthcare Data - Reach Physicians, Pharmacists, Hospitals and More With Our 9M+ Verified Healthcare Leads",,,,Blue Mail Media
1578,HealthIQ by AnalyticsIQ - Consumer Healthcare Data USA - 118M Households,,,,AnalyticsIQ
1579,HealthVerity Census,,,,HealthVerity
1580,HealthVerity Contract Management,,,,HealthVerity
1581,HealthVerity Marketplace,,,,HealthVerity
1582,Heckyl FIND DeepSearch,,,,Heckyl
1583,Heckyl FIND News Analytics,,,,Heckyl
1584,Heckyl FIND Price Analytics,,,,Heckyl
1585,Hella Gutmann Solutions HGS Data,,,,Hella Gutmann Solutions
1586,HERE Technology Automotive,,,,HERE TECHNOLOGY
1587,HERE Technology Location Services,,,,HERE TECHNOLOGY
1588,HERE Technology Map Content,,,,HERE TECHNOLOGY
1589,Herold Market Data Online,,,,Herold
1590,Herold Marketing Website,,,,Herold
1591,Herold Online Complete,,,,Herold
1592,Hexagon Content Program Aerial Imagery,,,,Hexagon Content Program
1593,Hexagon Content Program Digital Surface Models (DSM),,,,Hexagon Content Program
1594,Hexagon Content Program Stereo Imagery,,,,Hexagon Content Program
1595,Hexagon Research & Development,,,,Hexagon
1596,HeyStaks Retina Platform,,,,HeyStaks
1597,HeyStaks Targeted Advertising,,,,HeyStaks
1598,HG Insights HG for Salesforce,,,,"HG Insights,HG Insights"
1599,HG Insights Marketo,,,,"HG Insights,HG Insights"
1600,HG Insights Platform,,,,"HG Insights,HG Insights"
1601,"High Volume, Privacy-Compliant Location Data via VISIT Match (USA & Canada)",,,,Reveal Mobile
1602,HillSidePartners Custom Softwares,,,,Hillside Partners
1603,Hiretual Insights,,,,Hiretual
1604,Hiretual Integration,,,,Hiretual
1605,Hiretual Sourcing,,,,Hiretual
1606,Historical Financial Data For 230M Companies Worldwide,,,,BoldData
1607,Hivewyre Advertising Opportunities,,,,Hivewyre
1608,HockeyData Competitor Statistical Scouting,,,,
1609,HockeyData Player Review,,,,HockeyData
1610,HockeyData Team Level Analysis,,,,
1611,Home by Vendigi,,,,Vendigi
1612,Home Owners by Lendable Home Equity,,,,AmeriBase
1613,Host.io Full Domain Name Database | 430 Million Domains | By IPinfo.io,,,,IPinfo
1614,HouseCanary Comehome,,,,HouseCanary
1615,HouseCanary Data and Data Analytics,,,,HouseCanary
1616,HouseCanary Valuation,,,,HouseCanary
1617,HousingIQ by AnalyticsIQ - Consumer Housing Data USA - 118 Households,,,,AnalyticsIQ
1618,HoxPlus Email Database,,,,HoxPlus
1619,"HR Data - Reach HR Decision Makers, HR Professionals With Ease",,,,Blue Mail Media
1620,HR Data - Reach HR professionals across the world - Thomson Data,,,,Thomson Data
1621,HR Ratings Analysis,,,,HR Ratings
1622,Humanpredictions Advanced Search,,,,Humanpredictions
1623,Humanpredictions Predictions,,,,Humanpredictions
1624,Humanpredictions Social Graph,,,,Humanpredictions
1625,Humans In The Loop Model Training,,,,Humans In The Loop
1626,Humans In The Loop Model Validation,,,,Humans In The Loop
1627,Humphreys Classification,,,,Humphreys
1628,Hunter Domain Search,,,,Hunter
1629,Hunter Email Finder,,,,Hunter
1630,Hunter Email Verifier,,,,Hunter
1631,Huq Indicators,,,,Huq
1632,Huq Rollups,,,,Huq
1633,i360 Data Science,,,,i360
1634,i360 Technology,,,,i360
1635,i360 The Database,,,,i360
1636,IBISWorld Industry Reports,,,,IBISWorld
1637,IBISWorld Research Solutions,,,,IBISWorld
1638,IBM GRAF,,,,IBM The Weather Company
1639,IBM MarketScan Research Databases,,,,IBM The Weather Company
1640,IBM PAIRS Services,,,,IBM The Weather Company
1641,IBM Weather Company Big Data,,,,IBM Weather Company
1642,IBM Weather Company SPSS Modeler,,,,IBM Weather Company
1643,IBOPE Inteligência Data Mining,,,,IBOPE Inteligência
1644,IBOPE Inteligência Statistical Consulting,,,,IBOPE Inteligência
1645,Ibotta Purchase Data,,,,Ibotta
1646,ICEYE SAR Data,,,,ICEYE
1647,ICRA Limited Credit Ratings,,,,ICRA
1648,ICRA Limited Industry Research,,,,ICRA
1649,iCumulus Data Exchange B2B Demand Generation,,,,iCumulus Data Exchange
1650,iCumulus Data Exchange People Based Marketing B2C,,,,iCumulus Data Exchange
1651,iCumulus Data Exchange Virtual Agent,,,,iCumulus Data Exchange
1652,ID Analytics Authentication & Verification,,,,ID Analytics
1653,ID Analytics Credit Risk Solutions,,,,ID Analytics
1654,ID Analytics Fraud Risk Management Solutions,,,,ID Analytics
1655,ID+ powered by Zeotap,,,,
1656,IData Data Cookbook,,,,IData
1657,IDC 3rd Platform,,,,IDC
1658,IDC Customer Insights & Analysis,,,,IDC
1659,IDC Tracker,,,,IDC
1660,Idealista/data Market Studies,,,,Idealista/data
1661,Idealista/data Property Appraisal,,,,Idealista/data
1662,Idealista/data Real Estate Investment Analysis,,,,Idealista/data
1663,IdealRatings ESG & Responsible Investment Solutions,,,,IdealRatings
1664,IdealRatings Islamic Finance Solutions,,,,IdealRatings
1665,IDG Data,,,,IDG International Data Group
1666,IEX Cloud Core Data,,,,IEX Cloud
1667,IEX Cloud Premium Data,,,,IEX Cloud
1668,IFI CLAIMS Patent Services Data Enrichments,,,,IFI CLAIMS Patent Services
1669,IFI CLAIMS Patent Services Direct Data Collection,,,,IFI CLAIMS Patent Services
1670,IFI CLAIMS Patent Services Direct Deployment,,,,IFI CLAIMS Patent Services
1671,IGN - French Mapping Agency Geoservices,,,,IGN - French Mapping Agency
1672,IgniteTech Data,,,,IgniteTech
1673,iGODirect Group Data Analytics,,,,iGODirect Group Pivot Insights
1674,iGODirect Group Promotions & Platforms,,,,iGODirect Group Pivot Insights
1675,IHS Markit Data Lake,,,,IHS Markit
1676,IHS Markit ExpertConnect,,,,IHS Markit
1677,illion Data Registries,,,,illion
1678,illion Marketplaces,,,,illion
1679,illion Risk & Marketing Solutions,,,,illion
1680,IMDb Internet Movie Database,,,,IMDb
1681,Implisense API,,,,Implisense
1682,Implisense implisense Lookup & Permalink,,,,Implisense
1683,Improve Media Data,,,,Improve Media
1684,IncFact Market Research Solutions,,,,IncFact
1685,Increment P Corporation MapFan API,,,,Increment P
1686,Increment P Corporation MapFan DB,,,,Increment P
1687,IndexMath Algorithm,,,,IndexMath
1688,IndiGo Data Analyses,,,,IndiGo
1689,IndiGo Data Extraction,,,,IndiGo
1690,IndiGo Data Queries,,,,IndiGo
1691,Indivumed IndivuServ,,,,Indivumed
1692,Indivumed IndivuTest,,,,Indivumed
1693,Indivumed IndivuType,,,,Indivumed
1694,Inferess News Analytics,,,,Inferess
1695,Inferess Supply Chain,,,,Inferess
1696,Infoclipper Worldwide Company Checks,,,,"Infoclipper,InfoClutch"
1697,InfoClutch HealthCare Base,,,,InfoClutch
1698,InfoClutch RoleConnect,,,,InfoClutch
1699,InfoClutch TargetTechnology,,,,InfoClutch
1700,Infocore International Data Catalog,,,,Infocore
1701,Infocredit Group InfocreditWorld,,,,Infocredit Group
1702,"Infocredit Solutions, Inc Consumer Due Diligence",,,,"Infocredit Solutions, Inc"
1703,"Infocredit Solutions, Inc Credit Information Solutions",,,,"Infocredit Solutions, Inc"
1704,"Infocredit Solutions, Inc Human Resource Solutions",,,,"Infocredit Solutions, Inc"
1705,Infodataplace Email Lists Industry Lists & Appending Services,,,,Infodataplace
1706,InfoGlobalData Account Profiling Service,,,,InfoGlobalData
1707,InfoGlobalData Data Appending Services,,,,InfoGlobalData
1708,InfoGlobalData Lead Generation Services,,,,InfoGlobalData
1709,Infolegale Data Management,,,,Infolegale
1710,Infolegale Data Marketing,,,,Infolegale
1711,Infolegale Solvency Risk,,,,Infolegale
1712,Infos B4B B2B Mailing List,,,,Infos B4B
1713,Infos B4B Email List,,,,Infos B4B
1714,Infos B4B Technology User List,,,,Infos B4B
1715,InfoTrie Consulting,,,,InfoTrie
1716,InfoTrie FinSentS,,,,InfoTrie
1717,InfoTrie I-FEED,,,,InfoTrie
1718,inFRONT AllClear,,,,inFRONT
1719,Infutor Data Solutions Identity Resolution,,,,Infutor Data Solutions
1720,InMarket Geolink,,,,InMarket
1721,InMarket SDK,,,,InMarket
1722,InMarketIQ by AnalyticsIQ - Consumer Purchase Data USA - 241M Individuals,,,,AnalyticsIQ
1723,"InMarkets Projected Visits Counts, Location & POI Data for USA and Canada with MAIDs (>200M Devices)",,,,InMarket
1724,"InMarkets Visitation, Location & POI Data for USA and Canada with MAIDs (>200M Devices)",,,,InMarket
1725,"InMarkets Visitation, Location & POI Data for USA and Canada without MAIDs (>200M Devices)",,,,InMarket
1726,Innoloft Innoloft Pro,,,,Innoloft
1727,Innovata Data,,,,Cirium
1728,Innovata Data Analysis,,,,Cirium
1729,Innovata Mapping,,,,Cirium
1730,Inovestor Investment Research Platform,,,,Inovestor
1731,INRIX Analytics,,,,INRIX
1732,INRIX Parking,,,,INRIX
1733,INRIX ParkMe Parking App,,,,ParkMe
1734,INRIX Traffic,,,,INRIX
1735,InsideView Go-to-Market Machine,,,,InsideView
1736,InsightOne Nordic API Solution,,,,InsightOne Nordic
1737,InsightOne Nordic SAM Insights,,,,InsightOne Nordic
1738,InsightOne Nordic Segmentation Portal™,,,,InsightOne Nordic
1739,InstaFinancials BRisk,,,,InstaFinancials
1740,InstaFinancials InstaDocs,,,,InstaFinancials
1741,InstaFinancials WarmLeads,,,,InstaFinancials
1742,Institutional Shareholder Service EVA Platform,,,,Institutional Shareholder Service
1743,Institutional Shareholder Service ISS Market Intelligence (MI),,,,Institutional Shareholder Service
1744,Institutional Shareholder Services ISS DataDesk,,,,Institutional Shareholder Service
1745,Intagleo Systems Digital Signage,,,,Intagleo Systems
1746,Intelius Background Checks,,,,"Intelius, Inc."
1747,Intelius People And Property Search,,,,"Intelius, Inc."
1748,Intelius Reverse Phone Lookup,,,,"Intelius, Inc."
1749,Intellect Design Arena iGCB,,,,Intellect Design Arena
1750,Intellect Design Arena iGTB,,,,Intellect Design Arena
1751,Intellect Design Arena iRTM,,,,Intellect Design Arena
1752,Intellectual Property (IP) Reports,,,,IPqwery
1753,Inter-Credit Group Business Information Verification,,,,Inter-Credit Group
1754,Inter-Credit Group Chinese Enterprises’ Credit Reports,,,,Inter-Credit Group
1755,Inter-Credit Group International Credit Reports,,,,Inter-Credit Group
1756,Interactive Brokers LLC Trader Workstation (TWS) for IOS and Android,,,,Interactive Brokers LLC
1757,INTERConnect Analytics AdaptiveNLP,,,,INTERConnect Analytics
1758,INTERConnect Analytics MarketNLP,,,,INTERConnect Analytics
1759,INTERConnect Analytics Sentiment Analysis Engine,,,,INTERConnect Analytics
1760,Intercontinental Exchange ICE Data Services,,,,Intercontinental Exchange
1761,InterestIQ by AnalyticsIQ - Consumer Lifestyle Data USA - 241M Individuals,,,,AnalyticsIQ
1762,Interfax Due Diligence & KYC,,,,Interfax
1763,Interfax News Products,,,,Interfax
1764,Interfax Reputational Risk,,,,Interfax
1765,Intermap Technologies Airborne Data Collection,,,,Intermap Technologies
1766,Intermap Technologies NEXTMap Elevation Data Suite,,,,Intermap Technologies
1767,Intermap Technologies Orthorectification,,,,Intermap Technologies
1768,International Company Profile Credit Reports,,,,International Company Profile
1769,International Data Group Marketing Services,,,,IDG International Data Group
1770,International Data Group Media,,,,IDG International Data Group
1771,International Energy Agency IEA Energy Data Centre,,,,International Energy Agency
1772,International Research Associates Business information,,,,International Research Associates
1773,International Research Associates Debt Collection,,,,International Research Associates
1774,International Research Associates Due Diligence Report,,,,International Research Associates
1775,Intexfy Courses and Training,,,,Intexfy
1776,Intexfy Enrichment Platform,,,,Intexfy
1777,Intexfy Personalized Services,,,,Intexfy
1778,Intimate Merger DMP,,,,Intimate Merger
1779,Intracom Holdings IDE,,,,Intracom Holdings
1780,Intracom Holdings Intrakat,,,,Intracom Holdings
1781,Intracom Holdings Intrasoft,,,,Intracom Holdings
1782,Intricately Our Data,,,,Intricately
1783,Intrinio Fundamentals,,,,Intrinio
1784,Intrinio Market Data,,,,Intrinio
1785,Intrinio SEC Data,,,,Intrinio
1786,Inventive SMI Account based Demand Generation,,,,Inventive Smi
1787,Inventive SMI Account Based Market Research,,,,Inventive Smi
1788,Inventive SMI Account-Based Appointment Setting,,,,Inventive Smi
1789,Investment Company Institute Research and Statistics,,,,Investment Company Institute
1791,IP-API IP Geolocation AP,,,,IP-API
1792,IP2Location - IP Address Geolocation Database Global,,,,IP2Location
1793,IP2Location - IP Geolocation Global Web Service via REST API (4 Billion IP addresses),,,,IP2Location
1794,IP2Location IP2Proxy Web Service,,,,IP2Location
1795,IP2Location Web Services,,,,IP2Location
1796,IP2Proxy - Global Proxy Detection Database by IP2Location,,,,IP2Location
1797,Ipapi IP Location Lookup and Geolocation API,,,,Ipapi
1798,iPatientAxis Health Data,,,,iPatientAxis
1799,ipdata ASN Data,,,,ipdata
1800,IPG Group Customer Care,,,,IPG Group
1801,IPG Group Customer Selection,,,,IPG Group
1802,IPinfo IP Address Data,,,,IPinfo
1803,"IPinfo.io Anonymous IP Address Database | Global | VPN, Proxy, Tor, Hosting Detection | IP Reputation",,,,IPinfo
1804,IPinfo.io Company IP Address Database | Global | IP to Company | Firmographics Data,,,,IPinfo
1805,"IPinfo.io Custom IP Address Datasets On Demand | Global Coverage, Tailored IP Address Data",,,,IPinfo
1806,IPinfo.io IP API | Premium Plan Subscription with 2.5 Million API Requests,,,,IPinfo
1807,"IPinfo.io IP Geolocation Database | IP to Geolocation | Daily Updates, Global",,,,IPinfo
1808,IPinfo.io Mobile IP Database | Global Coverage | IP to Carrier Linkage,,,,IPinfo
1809,IPqwery API,,,,IPqwery
1810,Ipregistry Compliance with rules,,,,Ipregistry
1811,Ipregistry Cyber Security,,,,Ipregistry
1812,Ipregistry Web Personalization,,,,Ipregistry
1813,Ipsos Creative Excellence,,,,Ipsos
1814,Ipsos Innovation,,,,Ipsos
1815,Ipsos Market Strategy & Understanding,,,,Ipsos
1816,Ipstack geolocation API,,,,Ipstack
1817,IQ Banker Corporate Finance Analytics,,,,IQ banker
1818,IQ Banker Data Feeds and Consulting Services,,,,IQ banker
1819,IQ Banker Global Supply Chain Analytics,,,,IQ banker
1820,IQ Digital Email Marketing,,,,IQ Digital
1821,IQ Digital PPC,,,,IQ Digital
1822,IQ Digital SEO,,,,IQ Digital
1823,IQ Digital Social Media,,,,IQ Digital
1824,IQM Corporation Campaign Set Up,,,,IQM Corporation
1825,IQM Corporation Voter Matching and Targeting,,,,IQM Corporation
1826,IQM Corporation Voter Onboarding,,,,IQM Corporation
1827,IQVIA Commercialization,,,,IQVIA
1828,IQVIA Real World Evidence,,,,IQVIA
1829,IQVIA Research & Development,,,,IQVIA
1830,Iran Credit Scoring Credit Reports,,,,Iran Credit Scoring
1831,Iran Credit Scoring Credit Scores,,,,Iran Credit Scoring
1832,Iress Financial Advice,,,,Iress
1833,Iress Investment Management,,,,Iress
1834,Iress Trading & Market Data,,,,Iress
1835,IRI Data Cloud Liquid Data,,,,IRI Data Cloud
1836,Irys Military Community Platform,,,,Irys
1837,Irys on Business,,,,Irys
1838,Irys on Cities and Government,,,,Irys
1839,Irys Real Time & Historical - Worldwide Mobile & Connected Device Location Data,,"Location Data,GPS Data,","Caeli Ozone (O3) Air Quality - Worldwide - Historical Data (2018 - 2021)        by Caeli      ,Onemata Global Raw Mobile Device Location Data - 700 Million Monthly Devices - SDK Location Data        by Onemata      ,Historical Financial Data For 230M Companies Worldwide        by BoldData      ,Datos Mobile Clickstream Data (Japan, >250k MAU, Real-time & Historical)        by Datos      ",Irys
1840,iSENTIUM iSENSE API,,,,iSENTIUM
1841,Islamic International Rating Agency Rating Services,,,,Islamic International Rating Agency
1842,iSolarworld Business Intelligence Tool,,,,iSolarworld
1843,iSports API Basketball API,,,,iSports API
1844,iSports API Esports API,,,,iSports API
1845,iSports API Football API,,,,iSports API
1846,iSpot.tv Marketing Stack Integration,,,,iSpot.tv
1847,iSpot.tv Media Measurement,,,,iSpot.tv
1848,iSpot.tv TV Attribution,,,,iSpot.tv
1849,iSqFt Network,,,,iSqFt
1850,IT Central Station Awareness & Influence,,,,IT Central Station
1851,IT Central Station Content Creation,,,,IT Central Station
