,Name of the dataset,similar
1213,"Digital map of changes in water levels from predevelopment to 1980 for the High Plains aquifer in parts of Colorado, Kansas, Nebraska, New Mexico, Oklahoma, South Dakota, Texas, and Wyoming","Digital data set of water-level changes in the High Plains aquifer in parts of Colorado, Kansas, Nebraska, New Mexico, Oklahoma, South Dakota, Texas, and Wyoming, 1980 to 1994
Digital Map Of Base of Aquifer for High Plains Aquifer in parts of Colorado, Kansas, Nebraska, New Mexico, Oklahoma, South Dakota, Texas, and Wyoming
Digital map of specific yield for High Plains aquifer in parts of Colorado, Kansas, Nebraska, New Mexico, Oklahoma, South Dakota, Texas, and Wyoming
Digital data sets that describe aquifer characteristics of the alluvial and terrace deposits along the Cimarron River from Freedom to Guthrie in northwestern Oklahoma
DS-777 Average Annual Actual Evapotranspiration, 1940 to 1949, in inches estimated from the Soil Water Balance (SWB) Model for the High Plains Aquifer in Parts of Colorado, Kansas, Nebraska, New Mexico, Oklahoma, South Dakota, Texas, and Wyoming"
1214,Digital Orthorectified Aerial Image of Cottonwood Lake Study Area Wetland T7 from 2005,"Digital Orthorectified Aerial Image of Cottonwood Lake Study Area Wetland P3 from 2006
Digital Orthorectified Aerial Image of Cottonwood Lake Study Area Wetland P2 from 2004
Digital Orthorectified Aerial Image of Cottonwood Lake Study Area Wetland P8 from 2003
Digital Orthorectified Aerial Image of Cottonwood Lake Study Area Wetland P11 from 2003
Digital Orthorectified Aerial Image of Cottonwood Lake Study Area Wetland P7 from 2001"
1215,"Geochronologic data from xenoliths near the Stillwater Complex, Montana","Airborne geophysical survey: Yellowstone Regional, Wyoming and Montana
Airborne geophysical survey: Rogers Pass, Montana
Airborne geophysical survey: Bearpaw Mountains, Montana
Airborne geophysical survey: Wallace-Flathead, Montana
Geologic and structure maps of the Wallace 1degx2deg quadrangle, Montana and Idaho: A digital database"
1216,SEM Images of Sinter Samples from the Upper Geyser Basin in Yellowstone National Park (2019),"Gas and heat emission measurements in Norris Geyser Basin, Yellowstone National Park (May-October 2016)
Ground conductivity measurements at selected National Wildlife Refuges: Jerde, Montana, 2017
Cross-Section Geometry and Sediment-Size Distribution Data from Muddy Creek and North Fork Gunnison River below Paonia Reservoir, western Colorado, 2017
Lidar derived shoreline for Beaver Lake near Rogers, Arkansas, 2018
Ground conductivity measurements at selected National Wildlife Refuges: Northeast, Montana, 2017"
1217,Wind rose plots for the volcano: 251041 Hankow Reef,"Wind rose plots for the volcano: 251011 Boisa
Wind rose plots for the volcano: 253041 Goodenough
Wind rose plots for the volcano: 252801 Narage
Wind rose plots for the volcano: 254010 Lihir
Wind rose plots for the volcano: 252021 Mundua"
1218,"Great Lakes Research Vessel Operations 1958-2018. (ver. 3.0, April 2019)","Stream Temperature in the Northern Great Basin region of Southeastern Oregon, 2016-2019
Analytical results for the environmental and replicate sample sets collected from October 2017 through September 2019 at the Triangle Area Water Supply Monitoring Project study sites, North Carolina
Hydroacoustic data from central Lake Erie, 2010-2019
Sedimentation survey data for Lago Guayabal, December 2017
Chirp sub-bottom data of USGS field activity 2018-645-FA collected in the Santa Barbara Channel in July of 2018"
1219,"Water Use in Tennessee, 2010","ElevMHW: Elevation adjusted to local mean high water: Cedar Island, VA, 2010
Tennessee SPARROW nutrient model archives
shoreline, inletLines: Shoreline polygons and tidal inlet delineations: Cedar Island, VA, 2010
EAARL Coastal Topography--Alligator Point, Louisiana, 2010
ElevMHW: Elevation adjusted to local mean high water: Rockaway Peninsula, NY, 2010"
1220,"4-meter resolution bathymetric grid representing single beam data collected by the U.S. Geological Survey during field activity 2016-030-FA offshore Sandwich Beach, MA in June 2016 (32-bit GeoTIFF, UTM Zone 19N, NAD83-HARN)","Seabed still images in JPEG format collected on Stellwagen Bank during U.S. Geological Survey field activity 2017-044-FA, aboard the R/V Auk, September 12-14, 2017
Station and data summary for data collected on Stellwagen Bank on U.S. Geological Survey field activity 2015-062-FA, aboard the R/V Auk, Oct. 21 and 22 and Nov. 3 and 4 2015 (geographic, WGS84)
Still images in JPEG format of the sediment surface in the grab sampler, collected on Stellwagen Bank during U.S. Geological Survey field activity 2016-038-FA, aboard the R/V Auk, Sept. 16 and 19, 2016
Video transects of the sea floor on Stellwagen Bank during U.S. Geological Survey field activity 2014-055-FA, aboard the R/V Auk, September 23 and 24, 2014
Trackline navigation for Klein 3000 sidescan sonar data collected by the U.S. Geological Survey along the Delmarva Peninsula, MD and VA, 2014 (Esri polyline shapefile, GCS WGS 84)"
1221,Black carp and grass carp morphometric measurements,"Semi-automated and manual enumeration of bigheaded carps from recreational-grade side-scan sonar imagery, Perche Creek, MO, 2018
Development of an age estimation method for Grass Carp from North America
Survival and hydrodynamic behavior of grass carp eggs and larvae in relation to turbulence and in-stream obstructions
Bathymetric survey data of the Black River from Poplar Bluff, Missouri, to Pocahontas, Arkansas
Benthic foraminiferal data from sedimentary cores collected in the Grand Bay (Mississippi) and Dauphin Island (Alabama) salt marshes"
1222,Runoff Influence Analysis,"Stormwater Action Monitoring Basin Characteristics
XBeach Bottom Friction Scenarios: Model Inputs and Results
Statistical Methods in Water Resources - Supporting Materials
Ohia Dieback Study - Dieback Model Results Table
Regional-scale Model Predictions of the Relation Between Biological Integrity and Streamflow Modification"
1223,"lanai_wav - High Wave Hazard Intensity Level in the coastal zone of Lanai, Hawaii","maui_tsu - Tsunami Hazard Intensity Level in the coastal zone of Maui, Hawaii
molo_ero - Erosion Hazard Intensity Level in the coastal zone of Molokai, Hawaii
kauai_vol - Volcanic and Seismic Hazard Intensity Level in the coastal zone of Kauai, Hawaii
kauai_sfl - Stream Flooding Hazard Intensity Level in the coastal zone of Kauai, Hawaii
sand_geo - Geologic attributes of the coastal zone of Sand Island (Oahu), Hawaii"
1224,"Pond Creek Coal Zone County Statistics (Geology) in Kentucky, West Virginia, and Virginia","Pocahontas No. 3 Coal Bed Original Resources by County in Kentucky, West Virginia, and Virginia
Boundary for Deadman coal zone in the Jim Bridger area (jbbndg.shp)
GIS representation of coal-bearing areas in North, Central, and South America
Lower Kittanning Coal Bed Point Data (Chemistry) in Pennsylvania, Ohio, West Virginia, and Maryland
Yampa coal field combined leased areas and mined-out areas, Colorado Plateau (yam*leasg)"
1225,"Seasonal ecophysiological measurement data from December 2015 to September 2016, southeastern Utah","Data on Factors Affecting Spatial and Temporal Variations of Annual Summer Median Water Yields in Southwestern Michigan, 1945-2015
Attributes for NHDPlus Version 2.1 Catchments and Modified Routing of Upstream Watersheds for the Conterminous United States: PRISM Monthly Average Temperature (degrees Celsius), 2016-2017
Data collected for Claiborne aquifer study in southwestern Georgia during 2015 to 2016
Stream Temperature in the Northern Great Basin region of Southeastern Oregon, 2016-2019
Thermal image time series from rivers in Alaska, September 18-20, 2016"
1226,National Fish Habitat Action Plan (NFHAP) 2010 HCI Scores and Human Disturbance Data (linked to NHDPLUSV1) for Kansas,"National Fish Habitat Action Plan (NFHAP) 2010 HCI Scores and Human Disturbance Data (linked to NHDPLUSV1) for Arkansas
National Fish Habitat Action Plan (NFHAP) 2010 HCI Scores and Human Disturbance Data (linked to NHDPLUSV1) for Great Plains Fish Habitat Partnership
National Fish Habitat Action Plan (NFHAP) 2010 HCI Scores and Human Disturbance Data (linked to NHDPLUSV1) for Louisiana
National Fish Habitat Action Plan (NFHAP) 2010 HCI Scores and Human Disturbance Data (linked to NHDPLUSV1) for Arizona
National Fish Habitat Action Plan (NFHAP) 2010 HCI Scores and Human Disturbance Data (linked to NHDPLUSV1) for Illinois"
1227,"Archive of sediment physical properties and grain-size data for sediment samples collected offshore of Assateague Island, Maryland and Virginia","Surficial Sediment Data Collected During U.S. Geological Survey (USGS) Cruise R/V RAFAEL 08012 in the Vicinity of Edgartown Harbor, Offshore Martha's Vineyard, Massachusetts (RAFA08012_SEDDATA.SHP)
Isopach of Holocene fluvial and estuarine (Qfe) sediment and nearshore marine (Qmn) sediment thickness beneath Buzzards Bay, Massachusettts (Qfeqmniso, Esri binary grid, UTM, Zone 19N, WGS 84)
Shorelines used to calculate shoreline change statistics from within the Nantucket coastal region including the Nantucket Sound and Atlantic Ocean-facing coasts of Nantucket, Muskeget and Tuckernuck Islands (Nantucket_shorelines.shp)
Survey lines along which interferometric and multibeam bathymetric sonar data were collected by the U.S. Geological Survey and the National Oceanic and Atmospheric Administration offshore of Massachusetts between Duxbury and Hull (DH_BathyTrackline shapefile, Geographic, WGS84)
Surficial Sediment Data Collected During U.S. Geological Survey (USGS) RV Rafael cruise 2011-006-FA in Block Island Sound off Southwestern Rhode Island (2011_006BISSEDDATA.SHP, Geographic, WGS84)"
1228,"Geologic and aeromagnetic maps of the Fossil Ridge area and vicinity, Gunnison County, Colorado","Geologic Map of Colorado National Monument and Adjacent Areas, Mesa County, Colorado
Geologic map of the Vermejo Park quadrangle, Colfax County, New Mexico, and Las Animas County, Colorado
Airborne geophysical survey: Sangre de Cristo, Colorado
Geology of the Danforth Hills study area, Colorado Plateau (dangeolg)
Model Archive Summary for Suspended-Sediment Concentration at U.S. Geological Survey Site 385553107243301, North Fork Gunnison below Raven Gulch near Somerset, Colorado"
1229,Carbon Assessment of Hawaii Land Cover Map (CAH_LandCover),"Land change and carbon balance projections for the Hawaiian Islands
LANDFIRE Remap Anderson Fire Behavior Fuel Model (FBFM13) Micronesia
OahuN_shorelines - Shorelines of the northern coastal region of Oahu, Hawaii, from Camp Erdman to Kahuku, used in shoreline change analysis.
LANDFIRE Remap Fuel Characteristic Classification System (FCCS) Micronesia
KauaiN_shorelines - Shorelines of the northern coastal region of Kauai, Hawaii, from Haena to Moloaa, used in shoreline change analysis"
1230,Legacy and emerging contaminants in the Chesapeake Bay watershed as measured using passive samplers - 2005 to 2013,"Coastwide Reference Monitoring System (CRMS) 2005, 2008, 2012, and 2016 Site 0550 land-water matrix
RES2DINV Format Continuous Resistivity Profiles Collected in the Neuse River, May3, 2005
Coastwide Reference Monitoring System (CRMS) 2005, 2008, 2012, and 2016 Site 3565 land-water matrix
Coastwide Reference Monitoring System (CRMS) 2005, 2008, 2012, and 2015 Site 0511 Land-Water Matrix
Coastwide Reference Monitoring System (CRMS) 2005, 2008, 2012, and 2015 Site 0556 Land-Water Matrix"
1231,"Fumarole gas geochemistry and tree-ring radiocarbon data at Mammoth Mountain, California (1989-2016)","Multichannel minisparker seismic-reflection data of USGS field activity 2016-616-FA collected in the Catalina Basin offshore southern California in February 2016
Multichannel sparker and minisparker seismic-reflection data of USGS field activity 2014-645-FA collected in the outer Santa Barbara Channel, California, between 2014-11-12 to 2014-11-25 (ver. 2.0, March 2020)
Airborne geophysical survey: Sierra Nevada '63 East, California
Airborne geophysical survey: Northern Great Valley - Mt. Vaca, California
Swell-filtered, high-resolution seismic-reflection data collected between Punta Gorda and Fort Bragg (northern California) during field activity B-04-12-NC from 09/17/2012 to 09/25/2012"
1232,Wind rose plots for the volcano: 290161 Milna,"Wind rose plots for the volcano: 290211 Srednii
Wind rose plots for the volcano: 290220 Rasshua
Wind rose plots for the volcano: 290808 Kuntomintar
Wind rose plots for the volcano: 290260 Chirinkotan
Wind rose plots for the volcano: 290210 Ushishur"
1233,Wind rose plots for the volcano: 371803 Geysir,"Wind rose plots for the volcano: 371801 Grensdalur
Wind rose plots for the volcano: 372030 Katla
Wind rose plots for the volcano: 371060 Grimsnes
Wind rose plots for the volcano: 311360 Shishaldin
Wind rose plots for the volcano: 290211 Srednii"
1234,"Faults--Offshore of Salt Point Map Area, California","Faults--Drakes Bay and Vicinity, California
Faults--Offshore Santa Cruz, California
Backscatter [Fugro]--Offshore of Gaviota Map Area, California
BackscatterB [Swath]--Offshore of Point Reyes Map Map Area, California
Geology and geomorphology--Offshore of Bodega Head Map Area, California"
1235,"Folds--Offshore Scott Creek, California","Seafloor character--Offshore Scott Creek, California
Backscatter C [Swath]--Offshore of Fort Ross, California
Backscatter C [Swath]--Offshore of Tomales Point, California
Faults--Offshore Santa Cruz, California
Backscatter B [8101]--Offshore Bolinas, California"
1236,"WRTDS bootstrapped concentration and load trend likelihoods for sites in the Spokane River watershed, water years 1990 to 2018","Attributes for NHDPlus Version 2.1 Catchments and Modified Routing of Upstream Watersheds for the Conterminous United States: Modeled historical land use and land cover for the conterminous United States, 1940-1990
Horizontal-to-Vertical Spectral Ratio Soundings and Depth-to-Bedrock Data for Geohydrology and Water Quality Investigation of the Unconsolidated Aquifers in the Enfield Creek Valley, Town of Enfield, Tompkins County, New York, April 2013 - August 2015
Modern groundwater-quality, depth, and well-construction data for selected wells in the San Joaquin Valley, California, 1993-2015
Attributes for NHDPlus Version 2.1 Catchments and Modified Routing of Upstream Watersheds for the Conterminous United States: 30 Year Average (1961-1990) of Maximum Monthly Number of Days of Measurable Precipitation
Suspended sediment concentration and loads for the South Fork Nooksack River at Saxon Road, Washington, 2010-2016 water years"
1237,Probable suitable habitat for Little San Bernardino Mountains linanthus (Linanthus maculatus) in the California desert,"Probable suitable habitat for Desert cymopterus (Cymopterus deserticola) in the California desert
Potential suitable habitat for Munz cholla (Cylindropuntia munzii) in the California desert
Probable suitable habitat for Owens Valley checkerbloom (Sidalcea covillei) in the California desert
Potential suitable habitat for Parish's daisy (Erigeron parishii) in the California desert
Probable suitable habitat for Forked buckwheat (Eriogonum bifurcatum) in the California desert"
1238,"U.S. Geological Survey Polar Bear Mark-Recapture Records, Alaska Portion of the Southern Beaufort Sea, 2001-2010","Oceanographic Profile Data from Glacier Fjords of Alaska, 2004-2011
Sensor and Location data from Ear Tag PTTs Deployed on Polar Bears in the Southern Beaufort Sea 2009 to 2011
Measurement Data of Polar Bears Captured in the Chukchi and Southern Beaufort Seas, 1981-2017
Data Used to Compare Photo-Interpreted and IfSAR-Derived Maps of Polar Bear Denning Habitat for the 1002 Area of the Arctic National Wildlife Refuge, Alaska, 2006-2016
l1182cs.m77t - MGD77 data file for Geophysical data from field activity L-11-82-CS in Chukchi Sea, Alaska from 08/27/1982 to 09/16/1982"
1239,Wind rose plots for the volcano: 230010 Sharat Kovakab,"Wind rose plots for the volcano: 222170 Kyejo
Wind rose plots for the volcano: 231020 Uwayrid, Harrat
Wind rose plots for the volcano: 221120 Kurub
Wind rose plots for the volcano: 223020 Nyamuragira
Wind rose plots for the volcano: 221270 Alutu"
1240,Wind rose plots for the volcano: 290260 Chirinkotan,"Wind rose plots for the volcano: 290220 Rasshua
Wind rose plots for the volcano: 290211 Srednii
Wind rose plots for the volcano: 290210 Ushishur
Wind rose plots for the volcano: 290161 Milna
Wind rose plots for the volcano: 290808 Kuntomintar"
1241,Coastwide Reference Monitoring System (CRMS) 2016 Site 0381 land-water classification data,"Coastwide Reference Monitoring System (CRMS) 2016 Site 0173 land-water classification data
Coastwide Reference Monitoring System (CRMS) 2016 Site 0192 land-water classification data
Coastwide Reference Monitoring System (CRMS) 2016 Site 0197 land-water classification data
Coastwide Reference Monitoring System (CRMS) 2016 Site 0061 land-water classification data
Coastwide Reference Monitoring System (CRMS) 2016 Site 0322 land-water classification data"
1242,"Bathymetry Data for Portions of Lower Granite Reservoir and Vicinity, Washington and Idaho, 2009-10","Braided Reach Cross-Section Monitoring Surveys, Kootenai River near Bonners Ferry, Idaho, 2011
Acoustic backscatter from 2013 interferometric swath bathymetry systems survey of Columbia River Mouth, Oregon and Washington
Suspended sediment concentration and loads for the South Fork Nooksack River at Saxon Road, Washington, 2010-2016 water years
Airborne geophysical survey: Salmon River, Idaho
Potential areas of groundwater discharge delineated July 20-24, 2009 in the upper Humboldt River Basin, northeastern Nevada."
1243,Rio Grande 2012 Vegetation and Water Classification Data in the Big Bend Region,"Occurrence data for organic compounds and bioactive chemicals in water, sediment and tissue from Rocky Mountain National Park, 2012-13
Water Quality, Streamflow Gain Loss, Geologic, and Geospatial Data Used in the Pecos River Basin Salinity Assessment from Santa Rosa Lake, New Mexico to the Confluence of the Pecos River and the Rio Grande, 1900-2015
Suspended sediment and water temperature monitoring in the Sauk River, Washington, water years 2012-2016
Surface Water Observations for the Rio Grande transboundary integrated hydrologic model and water-availability analysis, New Mexico and Texas, United States, and Northern Chihuahua, Mexico
Geomorphic habitat units derived from 2012 aerial imagery and elevation data for the Elwha River estuary, Washington"
1244,"Specific Water Quality Sites for Sanjuan County, Utah","Specific Water Quality Sites for Wasatch County, Utah
Specific Water Quality Sites for Emery County, Utah
Hydrologic Data Sites for Cache County, Utah
Conservation Planning for the Colorado River in Utah - General Diversity Model Output Data for Colorado River in Utah
Conservation Planning for the Colorado River in Utah - Potential for Natural Recovery Model Model Output Data for Colorado River in Utah"
1245,Photographs from the Blue Ridge Parkway in Virginia (Willis region),"Photographs from the Blue Ridge Parkway in Virginia (Hardy region)
Airborne geophysical survey: Danville, Virginia
Airborne geophysical survey: Shenandoah Valley Dikes, Virginia
Airborne geophysical survey: Quantico Detail, Virginia
Airborne geophysical survey: Southeast Maryland"
1246,"Ozark Plateaus seepage flow-line dataset, southern Missouri and northern Arkansas, 1982-2006","Airborne geophysical survey: Missouri '79, Missouri
Concentrations of tetrachloroethylene in interpolated soil surface boundary points at the Vienna Wells Site: Maries County, Missouri.
Boundary of the Eagle River Watershed Valley-Fill Aquifer, Eagle County, North-Central Colorado, 2006-2007
Upper Claiborne Aquifer: Alabama, Arkansas, Louisiana, Missouri, Mississippi, Tennessee 2006-2008
Undivided Tertiary and Upper Cretaceous deposits in the Kaiparowits Plateau study area, southern Utah (kaibkwg)"
1247,John Day Reservoir sediment sample locations and analyses - 2002,"JPEG Images of seismic-reflection profiles collected in Lake Mohave in 2002
Wet atmospheric nitrogen deposition data detrended to 2002
Delta Wide Crevasses (MR-09): 2001 land water classifications
Physical Habitat Characteristics on the North Fork Shenandoah River, VA in 2002-2003
Potential areas of groundwater discharge delineated July 20-24, 2009 in the upper Humboldt River Basin, northeastern Nevada."
1248,Chance of potentially minor-damage ground shaking in 2018 based on the average of horizontal spectral response acceleration for 1.0-second period and peak ground acceleration for the Western United States,"Chance of potentially moderate-damage ground shaking in 2018 based on the average of horizontal spectral response acceleration for 1.0-second period and peak ground acceleration for the Western United States
Chance of damage from an earthquake in 2016 based on the average of horizontal spectral response acceleration for 1.0-second period and peak ground acceleration
Modified Mercalli Intensity based on the average of horizontal spectral response acceleration for 1.0-second period and peak ground acceleration, with 1-percent probability of exceedance in 1 year
2017 hazard curve data for annual rate of exceedance versus peak horizontal acceleration or horizontal spectral response acceleration for 0.2- or 1.0-second periods, for the full seismicity catalog and a b-value of 1.5
Hazard curve data for annual rate of exceedance versus 0.2-second spectral response acceleration"
1249,"Hawaiian hoary bat mean monthly acoustic detectability pre- and post- koa moth outbreak, Hawaii Island, 2007-2013","Hawaiian hoary bat acoustic data pre- and post- koa moth outbreak, Hawaii Island, 2011-2013
Hawaiian Islands Hawaiian hoary bat samples, genome assembly, and SNP genotypes, 2009-2015
Mean annual water-budget components for the Island of Maui, Hawaii, for average climate conditions, 1978-2007 rainfall and 2010 land cover (version 2.0)
Hawaii Island Hoary Bat Acoustic and Visual Surveys 2014
CoSMoS (Coastal Storm Modeling System) Southern California v3.0 Phase 2 wave-hazard projections: 1-year storm in Ventura County"
1250,"Airborne geophysical survey: Soda Lakes, California","Airborne geophysical survey: Martis Creek, California
Airborne geophysical survey: Medicine Lake Highlands, California
Airborne geophysical survey: Coso Hot Springs, California
1998 Water-Table Contours of the Mojave River and the Morongo Ground-Water Basins, San Bernardino County, California
Airborne geophysical survey: Wendel, California"
1251,"Invasion frustration? Can biotic resistance explain the small geographic range of non-native croaking gourami Trichopsis vittata (Cuvier, 1831) in Florida, USA?","DS926 Digital surfaces and thicknesses of selected hydrogeologic units of the Floridan aquifer system in Florida and parts of Georgia, Alabama, and South Carolina -- Outcropping areas of the Floridan aquifer system
Data for herpetofaunal inventories of the national parks of South Florida and the Caribbean: Volume I, Everglades National Park
National Assessment of Hurricane-Induced Coastal Erosion Hazards: Gulf of Mexico Bradenton Beach to Clearwater Beach, Florida Raw (non-interpolated) Beach Slope Point Data
Observations of bullseye snakehead (Channa marulius) in Florida
DS926 Digital surfaces and thicknesses of selected hydrogeologic units of the Floridan aquifer system in Florida and parts of Georgia, Alabama, and South Carolina -- Extent of the low-permeable areas of the Floridan aquifer system in the Gulf Trough"
1252,"Magnetotelluric data from the Northwest Geysers, 2017, station gz21","Magnetotelluric data from the Northwest Geysers, 2017, station gz19
Magnetotelluric data from the Northwest Geysers, 2017, station gz31
Magnetotelluric data from Gabbs Valley, Nevada, 2017, station gv14
Magnetotelluric data from Gabbs Valley, Nevada, 2017, station gv03
Magnetotelluric data from Gabbs Valley, Nevada, 2017, station gv16"
1253,"Survey tracklines along which bathymetric data were collected with a SEA Ltd., SWATHplus-H interferometric sonar with in the Barnegat Bay, New Jersey by the U.S. Geological Survey in 2011, 2012, and 2013 (Esri polyline shapefile, Geographic, WGS 84)","Survey tracklines along which backscatter data were collected with a Klein 3000, EdgeTech 4200 sidescan sonar and a SEA Ltd., SWATHplus-H interferometric sonar with in Barnegat Bay, New Jersey by the U.S. Geological Survey in 2011, 2012, and 2013 (Esri polyline shapefile, Geographic, WGS 84)
PNG formatted images of EdgeTech 424 seismic-reflection profiles collected by the U.S. Geological Survey in Barnegat Bay, NJ in 2011, 2012, and 2013
Trackline navigation for Klein 3000 sidescan sonar data collected by the U.S. Geological Survey along the Delmarva Peninsula, MD and VA, 2014 (Esri polyline shapefile, GCS WGS 84)
Sound velocity profile locations collected by the U.S. Geological Survey offshore of Fire Island, NY in 2011 (Geographic, WGS 84, Esri Point Shapefile)
2010-012-FA_MOSAIC_CI.tif - Composite sidescan-sonar mosaic collected by the U.S. Geological Survey in Woods Hole, MA offshore of the Gulf Islands, MS, 2010 (UTM Zone 16N GeoTIFF)"
1254,"High-resolution digital elevation model of Fall Creek Lake, Oregon, acquired during annual drawdown to streambed November 8, 2016","High-resolution orthophotograph of Fall Creek Lake, Oregon, acquired during annual drawdown to streambed November 10, 2016
Attributes for NHDPlus Version 2.1 Catchments and Modified Routing of Upstream Watersheds for the Conterminous United States: PRISM Monthly Average Temperature (degrees Celsius), 2016-2017
Suspended sediment concentration and loads for the South Fork Nooksack River at Saxon Road, Washington, 2010-2016 water years
Pesticides in Daily and Weekly Water Samples from the NAWQA Midwest and Southeast Stream Quality Assessments (2013-2014)
Water-quality data for surface-water samples collected from October 2015 through September 2017 at the Triangle Area Water Supply Monitoring Project study sites, North Carolina"
1255,LANDFIRE Remap 2016 National Vegetation Classification (NVC) Marshall Islands,"LANDFIRE Remap 2016 National Vegetation Classification (NVC) Guam Northern Mariana Islands
LANDFIRE Remap 2016 Existing Vegetation Height (EVH) Palau
LANDFIRE Remap 2016 Existing Vegetation Type (EVT) HI
LANDFIRE Remap Forest Canopy Base Height (CBH) Marshall Islands
LANDFIRE Remap Fuel Characteristic Classification System (FCCS) Marshall Islands"
1256,"DS926 Digital surfaces and thicknesses of selected hydrogeologic units of the Floridan aquifer system in Florida and parts of Georgia, Alabama, and South Carolina -- Point features for the thickness of the Floridan aquifer system","DS926 Digital surfaces and thicknesses of selected hydrogeologic units of the Floridan aquifer system in Florida and parts of Georgia, Alabama, and South Carolina -- Points for the thickness of the Upper Floridan aquifer
DS926 Digital surfaces and thicknesses of selected hydrogeologic units of the Floridan aquifer system in Florida and parts of Georgia, Alabama, and South Carolina -- Points for the thickness of the MAPCU
DS926 Digital surfaces and thicknesses of selected hydrogeologic units of the Floridan aquifer system in Florida and parts of Georgia, Alabama, and South Carolina -- Points for the thickness of the glauconite marker unit
DS926 Digital surfaces and thicknesses of selected hydrogeologic units of the Floridan aquifer system in Florida and parts of Georgia, Alabama, and South Carolina -- Raster surface depicting the thickness of the Floridan aquifer system
DS926 Digital surfaces and thicknesses of selected hydrogeologic units of the Floridan aquifer system in Florida and parts of Georgia, Alabama, and South Carolina -- Contours for the base of the Floridan aquifer system"
1257,Gulf of Mexico Marine Geology and Geophysics from Field Activity: A-1-97-GM: West Flower Garden Bank bathymetry and backscatter data,"Surficial Sediment Data Collected During U.S. Geological Survey (USGS) RV Rafael cruise 2011-006-FA in Block Island Sound off Southwestern Rhode Island (2011_006BISSEDDATA.SHP, Geographic, WGS84)
Surficial Sediment Data Collected During U.S. Geological Survey (USGS) Cruise R/V RAFAEL 08012 in the Vicinity of Edgartown Harbor, Offshore Martha's Vineyard, Massachusetts (RAFA08012_SEDDATA.SHP)
HYPACK ASCII navigation files collected by the U.S. Geological Survey in the Madison Swanson and Steamboat Lumps Marine Protected Areas, Gulf of Mexico in 2000 (Geographic, WGS 84)
GMX_Q02.TIF - U.S. Gulf of Mexico EEZ GLORIA sidescan-sonar data mosaic (2 of 16) (ACEA, 50 m, Clarke1866)
GMX_Q16.TIF - U.S. Gulf of Mexico EEZ GLORIA sidescan-sonar data mosaic (16 of 16) (ACEA, 50 m, Clarke1866)"
1258,Wind rose plots for the volcano: 245030 Nabukelevu,"Wind rose plots for the volcano: 311250 Uliaga
Wind rose plots for the volcano: 264150 Paluweh
Wind rose plots for the volcano: 223020 Nyamuragira
Wind rose plots for the volcano: 261251 Ranau
Wind rose plots for the volcano: 268030 Ibu"
1259,"Vineyard and Nantucket Sounds, Southern coast of Cape Cod including Martha's Vineyard and Nantucket: Polygon boundaries for source data of a continuous bathymetry and topography terrain model of the Massachusetts coastal zone and continental shelf: (Esri polygon shapefile, Geographic, NAD 83).","Onshore/offshore baseline for the Outer Cape Cod coastal region generated to calculate shoreline change rates from Long Point in Provincetown to Monomoy Island (OuterCapeCod_baseline.shp)
Survey lines along which interferometric and multibeam bathymetric sonar data were collected by the U.S. Geological Survey and the National Oceanic and Atmospheric Administration offshore of Massachusetts between Duxbury and Hull (DH_BathyTrackline shapefile, Geographic, WGS84)
Surficial Sediment Data Collected During U.S. Geological Survey (USGS) Cruise R/V RAFAEL 08012 in the Vicinity of Edgartown Harbor, Offshore Martha's Vineyard, Massachusetts (RAFA08012_SEDDATA.SHP)
Physiographic Zones of the Sea Floor from Nahant to Northern Cape Cod Bay, Massachusetts (NAH_CCB_Pzones polygon shapefile, Geographic WGS 84)
Shorelines used to calculate shoreline change statistics from within the Nantucket coastal region including the Nantucket Sound and Atlantic Ocean-facing coasts of Nantucket, Muskeget and Tuckernuck Islands (Nantucket_shorelines.shp)"
1260,Data for Groundwater-Quality and Select Quality-Control Data for the Colorado Plateaus Principal Aquifer,"Model Archive Summary for Suspended-Sediment Concentration at U.S. Geological Survey Site 385553107243301, North Fork Gunnison below Raven Gulch near Somerset, Colorado
Soil-Water Balance Groundwater Recharge Model Results for the Lower Colorado River Basin
Data release for A paleomagnetic age estimate for the draining of ancient Lake Alamosa, San Luis Valley, south-central Colorado, U.S.A.
Geology of the Danforth Hills study area, Colorado Plateau (dangeolg)
Conservation Planning for the Colorado River in Utah - Riparian Understory Model Output Data for Colorado River in Utah"
