post_title,data_provider,post_excerpt,use_case,related_data_sets,rating,data_categories
"EDI Municipal Bond Pricing Data US (+1.2m Bonds Covered, 8 Years History)",Exchange Data International,"EDI Municipal Bond Pricing Data US (+1.2m Bonds Covered, 8 Years History) dataset provides information regarding: Retail & Commerce Data,Employment Data,Economic Data and more.",,"EDI US Corporate Bonds (historical data back to 2019),FinPricing SIFMA Municipal Swap Index Curve Data - US,Televisory's Fixed Income Pricing Data- Global Coverage of 300,000+ Bonds,DDS Digital administrative and postcode boundaries (11100 municipalities covered) :",4,"Retail & Commerce Data,Employment Data,Economic Data"
EDI US Corporate Bonds (historical data back to 2019),Exchange Data International,EDI US Corporate Bonds (historical data back to 2019) dataset provides information regarding: Economic Data and more.,,"Wall Street Horizon Corporate Event Data - Historical,EDI Municipal Bond Pricing Data US (+1.2m Bonds Covered, 8 Years History),CUFTanalytics' Corporate Bond Issues from US SEC filings w/+10 data fields; 1Q2021 w/+300 records,Aviation Edge - Historical Global Flight Schedules API - Historical Airport Schedules Data :",4,Economic Data
"EDI Fixed Income Data Global (150 countries, 700k active debt instruments)",Exchange Data International,"EDI Fixed Income Data Global (150 countries, 700k active debt instruments) dataset provides information regarding: Economic Data,Employment Data and more.",,"EDI Fixed Income Derived Data Global (150k exchange traded debt securities),Televisory's Fixed Income Pricing Data- Global Coverage of 300,000+ Bonds,EDI Fixed Income Data Global (40 event types, 13 years history),Live Streaming WebSocket/Socket.io Data - ""Advanced"" Plan - 54 Instruments (PS200 per month) :",4,"Economic Data,Employment Data"
EDI Dividend Payments & Schedules Data UK,Exchange Data International,EDI Dividend Payments & Schedules Data UK dataset provides information regarding: Economic Data and more.,,"Aviation Edge - Historical Global Flight Schedules API - Historical Airport Schedules Data,EDI U.S Dividend Reclassification Data,Woodseer ETF Dividend Forecast Data,Facteus' US Consumer Payments - CPG :",4,Economic Data
EDI U.S Dividend Reclassification Data,Exchange Data International,EDI U.S Dividend Reclassification Data dataset provides information regarding: Economic Data and more.,,"StageZero's Industrial Work Safety: Helmet and Person w/ 3k images (classification) GDPR compliant,EDI Dividend Payments & Schedules Data UK,Woodseer ETF Dividend Forecast Data,B2B Email and Catch-All Verification :",4,Economic Data
"EDI Woodseer Dividend Forecasting Global (25k+ securities, 1000+ indices)",Exchange Data International,"EDI Woodseer Dividend Forecasting Global (25k+ securities, 1000+ indices) dataset provides information regarding: Economic Data and more.",,"Woodseer ETF Dividend Forecast Data,EDI Securities Reference File with global coverage (1.3 million securities),Woodseer Dividend Forecast Data,RIWI Jobs Forecasting Data USA - available via feed for economic forecasting :",3,Economic Data
EDI Fixed Income Derived Data Global (150k exchange traded debt securities),Exchange Data International,"EDI Fixed Income Derived Data Global (150k exchange traded debt securities) dataset provides information regarding: Economic Data,Employment Data and more.",,"EDI Fixed Income Data Global (150 countries, 700k active debt instruments),Televisory's Fixed Income Pricing Data- Global Coverage of 300,000+ Bonds,US Common Stock Market Data with more than 4000 Securities - i1 US,ISS ESG Climate Solutions Global (data on 25k companies and 80k securities) :",4,"Economic Data,Employment Data"
EDI Reference Data Mutual Funds USA (28k Mutual Funds covered),Exchange Data International,EDI Reference Data Mutual Funds USA (28k Mutual Funds covered) dataset provides information regarding: Stock & Market Data and more.,,"EDI Mutual Funds US - Corporate Actions Data,QuoteMedia Mutual Funds, ETFs, UITs and REITs,Realtime and Historical Global ETF data and Mutual Funds prices,US Mutual Fund and Closed-End Fund Data :",5,Stock & Market Data
EDI Mutual Funds US - Corporate Actions Data,Exchange Data International,EDI Mutual Funds US - Corporate Actions Data dataset provides information regarding: Stock & Market Data and more.,,"EDI Reference Data Mutual Funds USA (28k Mutual Funds covered),QuoteMedia Mutual Funds, ETFs, UITs and REITs,Wall Street Horizon Corporate Event Data - Earnings calendar, Dividends, Interim Calendar, Corporate Actions,Realtime and Historical Global ETF data and Mutual Funds prices :",3,Stock & Market Data
EDI Offshore Reporting Funds - largest proprietary database of Fund Manager details,Exchange Data International,EDI Offshore Reporting Funds - largest proprietary database of Fund Manager details dataset provides information regarding: Stock & Market Data and more.,,"True Influence - Proprietary B2B Intent Data Feed (USA),EDI Reference Data Mutual Funds USA (28k Mutual Funds covered),Real Estate Funds: Properties' Details Data | Worldwide Funds & REITS Data | Datacie Real Estate,Chain of Demand's proprietary product matching algorithms. :",4,Stock & Market Data
EDI Outsourcing Service to keep your security reference database updated,Exchange Data International,EDI Outsourcing Service to keep your security reference database updated dataset provides information regarding: Stock & Market Data and more.,,"EDI US Equities Historical Reference Services (2.5 Million trackable securities),External Data Sourcing Services (Annual Subscription),Stamdata Bond Reference Data (""stamdata""),NCFX Spot FX Reference Rates - Live Forex Data, Global Coverage :",4,Stock & Market Data
"EDI Global Market Holidays and Timings Calendar (2066 exchanges, 152 countries)",Exchange Data International,"EDI Global Market Holidays and Timings Calendar (2066 exchanges, 152 countries) dataset provides information regarding: Stock & Market Data,Economic Data and more.",,"World Public Holidays Data of 100 Different Countries From 2020 to 2029,EDI End-of-Day Pricing Data Global (170 exchanges worldwide, 10 years history),Kaiko Tick Trade - real-time on all crypto exchanges,Historical and future vacation / holidays for a Country and Region 2000 to 2030 :",5,"Stock & Market Data,Economic Data"
EDI Corporate Actions Data US + Canada (daily updated),Exchange Data International,EDI Corporate Actions Data US + Canada (daily updated) dataset provides information regarding: Stock & Market Data and more.,,"EDI Corporate Actions Data UK (daily updates),Nikkei Corporate Financial Data Japan - 4,000 listed companies, 50 years history, daily updated,Wall Street Horizon Corporate Event Data - Earnings calendar, Dividends, Interim Calendar, Corporate Actions,EDI Mutual Funds US - Corporate Actions Data :",4,Stock & Market Data
"EDI Real Time & Historical FX Feed (40+ currencies, minutely updated)",Exchange Data International,"EDI Real Time & Historical FX Feed (40+ currencies, minutely updated) dataset provides information regarding: Foreign Exchange Market Data,Stock & Market Data and more.",,"EDI Global Foreign Exchange Rates (175 currencies, 20 years history, hourly updates),Finage Real-Time & Historical Cryptocurrency Market Feed - Global Cryptocurrency Data,Brain Sentiment Indicator - Currencies, Cryptocurrencies and Commodities,Physical Currencies and Precious Metals Data :",3,"Foreign Exchange Market Data,Stock & Market Data"
EDI Credit Default Swap Data global coverage (2000 entities),Exchange Data International,"EDI Credit Default Swap Data global coverage (2000 entities) dataset provides information regarding: Economic Data,Employment Data and more.",,"FACTSET Core Company Data (Global Coverage) - 75,000 Reporting Entities,EDI Swap Curves OTC-Data Global - for valuations, portfolio analytics and risk management,A2A Credit Card Transaction Data: Global Coverage - Sales & Consumer Profiling,FinPricing Swap Rate Curve, Basis Curve, OIS Curve Data (Global) :",4,"Economic Data,Employment Data"
EDI Evaluated Fixed Income Pricing Service,Exchange Data International,"EDI Evaluated Fixed Income Pricing Service dataset provides information regarding: Economic Data,Employment Data and more.",,"EDI Fixed Income Evaluated Pricing Data for Canada,Televisory's Fixed Income Pricing Data- Global Coverage of 300,000+ Bonds,EDI Fixed Income Data Global (40 event types, 13 years history),Radius+ Self Storage Pricing Data Services :",4,"Economic Data,Employment Data"
EDI Worldwide Fixed Income Corporate Actions,Exchange Data International,EDI Worldwide Fixed Income Corporate Actions dataset provides information regarding: Employment Data and more.,,"EDI Worldwide Fixed Income Terms and Conditions,ISS ESG Corporate Rating Data (on 6200 listed companies worldwide),Wall Street Horizon Corporate Event Data - Earnings calendar, Dividends, Interim Calendar, Corporate Actions,Televisory's Fixed Income Pricing Data- Global Coverage of 300,000+ Bonds :",4,Employment Data
EDI Corporate Actions Data UK (daily updates),Exchange Data International,"EDI Corporate Actions Data UK (daily updates) dataset provides information regarding: Economic Data,Stock & Market Data and more.",,"EDI Corporate Actions Data US + Canada (daily updated),Wall Street Horizon Corporate Event Data - Earnings calendar, Dividends, Interim Calendar, Corporate Actions,Nikkei Corporate Financial Data Japan - 4,000 listed companies, 50 years history, daily updated,EDI Mutual Funds US - Corporate Actions Data :",5,"Economic Data,Stock & Market Data"
EDI Securities Reference File with global coverage (1.3 million securities),Exchange Data International,EDI Securities Reference File with global coverage (1.3 million securities) dataset provides information regarding: Economic Data and more.,,"EDI US Equities Historical Reference Services (2.5 Million trackable securities),US Common Stock Market Data with more than 4000 Securities - i1 US,ISS ESG Climate Solutions Global (data on 25k companies and 80k securities),GRAVITON Financial Data USA All quoted securities :",4,Economic Data
"EDI Structured Note Broker Quotes for US + European issuers (customizable, daily updates)",Exchange Data International,"EDI Structured Note Broker Quotes for US + European issuers (customizable, daily updates) dataset provides information regarding: Retail & Commerce Data and more.",,"Customizable Enriched POI Attributes,Global Clickstream Data Feeds in both Unstructured and Structured formats,Student Marketing Data - Reach Out to Students With Our Customizable Student Data,Unwrangle Getter API for Structured Data :",3,Retail & Commerce Data
EDI Short Interest Data - market sentiment indicator with global coverage,Exchange Data International,EDI Short Interest Data - market sentiment indicator with global coverage dataset provides information regarding: Stock & Market Data and more.,,"Brain Sentiment Indicator / Stock Sentiment using NLP on financial news / 10000+ Global Stocks,Knowsis Sentiment Quant Leading Indicators, Macro, Single Shares - Quant Hedge Fund Data,EDI Global Economic Indicator Service (32k macro-economic indicators),Tradefeeds Technical Indicators API - intraday indicators and support & resistance indicators. :",3,Stock & Market Data
EDI Threshold Securities Data in the USA (to comply with SHO short selling activities).,Exchange Data International,EDI Threshold Securities Data in the USA (to comply with SHO short selling activities). dataset provides information regarding: Stock & Market Data and more.,,"EDI Short Interest Data - market sentiment indicator with global coverage,Monitor Out-Of-Home activities,US Common Stock Market Data with more than 4000 Securities - i1 US,GRAVITON Financial Data USA All quoted securities :",4,Stock & Market Data
EDI Global Adjustment Factors Data for Share Prices effected by Capital Events,Exchange Data International,"EDI Global Adjustment Factors Data for Share Prices effected by Capital Events dataset provides information regarding: Economic Data,Stock & Market Data and more.",,"EDI Company Future Events Data,Global ESG Material Events and Sentiment Data,ISS ESG Raw Data Globally (89 factors, 54 raw data points),Risklio Event Risk Data Factors for equities in the US, UK, Germany :",4,"Economic Data,Stock & Market Data"
EDI Investment Funds Worldwide Net Asset Value Service (NAVs),Exchange Data International,EDI Investment Funds Worldwide Net Asset Value Service (NAVs) dataset provides information regarding: Stock & Market Data and more.,,"ISS ESG Responsible Investment Policy Development Service,EDI US Unit Investment Trusts Data (covers all UITs in the US),List of 7M Personal Services companies worldwide,Quantitative stock investment research for US asset managers and financial advisors :",4,Stock & Market Data
EDI Swaption Volatility Data of Interest Rates,Exchange Data International,"EDI Swaption Volatility Data of Interest Rates dataset provides information regarding: Stock & Market Data,Economic Data and more.",,"FinPricing Swaption Implied Volatility Surface Data - USA, Europe, Australia,EDI FX Option Volatility Data for valuations, portfolio analytics and risk management (daily updates),Option Skew and price compression for stocks and indexes - tickerized,FinPricing Precious Metal Implied Volatility - Implied Volatility Data (USA & Australia) :",4,"Stock & Market Data,Economic Data"
EDI US Bankruptcy Data updated daily (500K Records),Exchange Data International,"EDI US Bankruptcy Data updated daily (500K Records) dataset provides information regarding: Bankruptcy Data,Stock & Market Data and more.",,"EDI Corporate Actions Data US + Canada (daily updated),Pynk | Gold Price Signal based on 1400 daily predictions from 32k Users daily updated,North America: Daily mobility data for 1200 cities, 3006 counties, +500K census block areas,Salutary Data: B2B Contact Data - 60M Records, Updated Quarterly :",3,"Bankruptcy Data,Stock & Market Data"
Estimize - crowdsourced EPS and revenue estimates which are more accurate than the experts,ExtractAlpha,Estimize - crowdsourced EPS and revenue estimates which are more accurate than the experts dataset provides information regarding: Stock & Market Data and more.,,"ExtractAlpha's TrueBeats - up to 80% accurate predictions of EPS and revenue surprises,QUICK Consensus: Analyst Estimates Data for Japan,Verisign -Highly accurate, granular data on the primary revenue driver,Nikkei Earnings Estimates | Earning estimates for Japanese companies :",4,Stock & Market Data
ExtractAlpha's TrueBeats - up to 80% accurate predictions of EPS and revenue surprises,ExtractAlpha,ExtractAlpha's TrueBeats - up to 80% accurate predictions of EPS and revenue surprises dataset provides information regarding: Stock & Market Data and more.,,"Estimize - crowdsourced EPS and revenue estimates which are more accurate than the experts,Walmart (NYSE: WMT) | US Same Store Sales Prediction Data | Accurate (Corr: 0.85, MAPE: 3.8%) | Quarterly,Verisign -Highly accurate, granular data on the primary revenue driver,Chain of Demand's revenue predictions for publicly listed retail companies (US & China), with two years of coverage :",5,Stock & Market Data
ExtractAlpha's Innovation Model - select the most innovative stocks for outperformance,ExtractAlpha,"ExtractAlpha's Innovation Model - select the most innovative stocks for outperformance dataset provides information regarding: Employment Data,Environmental Data,Patent Data and more.",,"Quant IP Patent and Innovation Metrics for 400k companies, 25+ years history,Reality Research Serenity Scores - quant REIT scores with 10+ years of alpha and outperformance,GPI Pulse - Global Pricing Innovations Indication-Level Treatment Costs - Pharma Data,Ziggma delivers white-labeled off-the-shelf UI/UX solutions for online brokers to deploy innovative tools quickly and maximize customer lifetime value :",5,"Employment Data,Environmental Data,Patent Data"
Fable Data Row Level European Consumer Transaction Data,Fable Data,Fable Data Row Level European Consumer Transaction Data dataset provides information regarding: Consumer Lifestyle Data and more.,"Algo-Trading,Competitor Analysis,Hedge Fund Management","Fable Data Per Ticker European Consumer Transaction Datasets,Facteus Transaction Data - US Consumer Payments - Express,90 West Data - US Consumer Credit Card / Debit Card / Transaction Data - Retail Panel,Yodlee's 4M Panel (US Consumer Transaction Data, de-identified) :",4,Consumer Lifestyle Data
Fable Data Per Ticker European Consumer Transaction Datasets,Fable Data,Fable Data Per Ticker European Consumer Transaction Datasets dataset provides information regarding: Consumer Lifestyle Data and more.,,"Fable Data Row Level European Consumer Transaction Data,Yodlee's Aggregate Panel (US Consumer Transaction Data Aggregated,QueXopa Debit & Credit Card Transaction Data (Brazil) - Uniquely Refined Transactions Datasets.,Facteus Transaction Data - US Consumer Payments - Express :",4,Consumer Lifestyle Data
Fable Data Aggregated European Consumer Transaction Dataset,Fable Data,Fable Data Aggregated European Consumer Transaction Dataset dataset provides information regarding: Consumer Lifestyle Data and more.,"Portfolio Management,Algo-Trading,Hedge Fund Management","Fable Data Per Ticker European Consumer Transaction Datasets,Yodlee's Aggregate Panel (US Consumer Transaction Data Aggregated,Facteus Transaction Data - US Consumer Payments - Express,90 West Data - US Consumer Credit Card / Debit Card / Transaction Data - Retail Panel :",5,Consumer Lifestyle Data
FACTSET Market Data (Global Coverage) - Economic Data Sourced from 800+ Databases,FactSet,"FACTSET Market Data (Global Coverage) - Economic Data Sourced from 800+ Databases dataset provides information regarding: Economic Data,Real Estate Investment Data and more.",,"EDI Global Economic Data (8 databases, 200 countries covered),Market data API, global coverage, 350 pricing sources,African Economic & Financial Database (AFED),FACTSET News & Research Data (Global Coverage) - Real-time Market & Financial Intelligence :",4,"Economic Data,Real Estate Investment Data"
FACTSET Event-Driven Data (Global Coverage) - 1.7 Million Company Corporate Events,FactSet,FACTSET Event-Driven Data (Global Coverage) - 1.7 Million Company Corporate Events dataset provides information regarding: Company Data and more.,,"EDI Corporate Actions Data Global (14 year history, 60 event types covered),FACTSET Core Company Data (Global Coverage) - 75,000 Reporting Entities,Global Text, News, Insider Transaction & Corporate Events Data - RavenPack Analytics 1.0,Wall Street Horizon Corporate Event Data - Investor Conferences & Events :",4,Company Data
FACTSET News & Research Data (Global Coverage) - Real-time Market & Financial Intelligence,FactSet,"FACTSET News & Research Data (Global Coverage) - Real-time Market & Financial Intelligence dataset provides information regarding: Stock & Market Data,News Data and more.",,"FACTSET Alternative Data (Global Coverage) - Novel ESG, Market & Business Intelligence,peekd search intelligence data (SEO, keyword performance, global coverage, GDPR-compliant),priceintelligence - catalog intelligence,VulnDB - Vulnerability Intelligence for Enterprises (Global Coverage) :",4,"Stock & Market Data,News Data"
"FACTSET Core Company Data (Global Coverage) - 75,000 Reporting Entities",FactSet,"FACTSET Core Company Data (Global Coverage) - 75,000 Reporting Entities dataset provides information regarding: Company Data,Employment Data,Economic Data,Business Credit Rating Data and more.",,"FACTSET Event-Driven Data (Global Coverage) - 1.7 Million Company Corporate Events,EDI Credit Default Swap Data global coverage (2000 entities),Stamdata Regulatory Reporting Data,Scrape LinkedIn Company Data using Web Scraping Having Global Coverage :",4,"Company Data,Employment Data,Economic Data,Business Credit Rating Data"
FactSquared Stock Sentiment Speech Analytics Data USA,FactSquared,FactSquared Stock Sentiment Speech Analytics Data USA dataset provides information regarding: Stock & Market Data and more.,,"US Public Companies Earning Calls Audio and Video Database - FactSquared Transcribe,OWL Analytics ESG Sentiment Scores - ESG Data for the US, Sourced using NLP & ML,Global ESG Material Events and Sentiment Data,Danel CapitalPredictive Equity Analytics Sentiment ScoreTrading Data (Europe & USA) :",3,Stock & Market Data
Programmatic Advertising - Build Your Brand With FrescoData Audience Data 10K+ Attributes,FrescoData,"Programmatic Advertising - Build Your Brand With FrescoData Audience Data 10K+ Attributes dataset provides information regarding: Demographic Data,Marketing Attribution Data and more.",,"FrescoData Email Marketing - Consumer B2C Data10K+ Audience Attributes,Mediasmart Programmatic Brand Marketing Platform for Europe,NetWise Syndicated Programmatic/Digital Audience Segments available via preferred DMP/DSP and on-boarding platforms.,ThinkCX | Digital Advertising Audiences for North American Telecoms (200M Devices) :",4,"Demographic Data,Marketing Attribution Data"
"FrescoData Direct Mail Marketing (Consumer Intent Based Attributes/Lifestyle Data)Global Audiences, 10K+ Attributes",FrescoData,"FrescoData Direct Mail Marketing (Consumer Intent Based Attributes/Lifestyle Data)Global Audiences, 10K+ Attributes dataset provides information regarding: Individual Data,Consumer Lifestyle Data,Identity Data and more.",,"FrescoData Email Marketing - Consumer B2C Data10K+ Audience Attributes,Lifesight Consumer Graph USA | Append 100+ Attributes from 300M+ Consumer Profiles,Throtle - Consumer Data Intelligence USA with 150+ consumer attributes,Kochava Collective - Global Device Attributes Data :",3,"Individual Data,Consumer Lifestyle Data,Identity Data"
FrescoData Email Marketing - Consumer B2C Data10K+ Audience Attributes,FrescoData,"FrescoData Email Marketing - Consumer B2C Data10K+ Audience Attributes dataset provides information regarding: Email Data,Identity Data,Individual Data and more.",,"FrescoData Direct Mail Marketing (Consumer Intent Based Attributes/Lifestyle Data)Global Audiences, 10K+ Attributes,Throtle - Consumer Data Intelligence USA with 150+ consumer attributes,Programmatic Advertising - Build Your Brand With FrescoData Audience Data 10K+ Attributes,Lifesight Consumer Graph USA | Append 100+ Attributes from 300M+ Consumer Profiles :",4,"Email Data,Identity Data,Individual Data"
"FrescoData Consumer People Data (B2C Contacts)Global Data, 3.6B+ Contacts",FrescoData,"FrescoData Consumer People Data (B2C Contacts)Global Data, 3.6B+ Contacts dataset provides information regarding: Consumer Lifestyle Data,Email Data,Identity Data and more.",,"FrescoData Business People Data (B2B Contacts) 200M+ Contacts Worldwide,US Consumers Database | B2C Contact Data,B2C Contact Data - Global Contact List - Reach B2C Audience Globally With Our Verified 200M+ B2C Contact Data,FrescoData Email Marketing - Consumer B2C Data10K+ Audience Attributes :",5,"Consumer Lifestyle Data,Email Data,Identity Data"
FrescoData PII Data for Global Identity Verification,FrescoData,"FrescoData PII Data for Global Identity Verification dataset provides information regarding: Business Registry Data,Company Data,Consumer Lifestyle Data,Identity Data and more.",,"The Data Group: Real-Time Email Verification & KYC Service - Identity Data USA,Consumer Address and Identity verification SaaS portal,B2B Email and Catch-All Verification,FrescoData Consumer People Data (B2C Contacts)Global Data, 3.6B+ Contacts :",5,"Business Registry Data,Company Data,Consumer Lifestyle Data,Identity Data"
Global Tenders and Grants funding opportunities from over +400 international donors,Global Database,Global Tenders and Grants funding opportunities from over +400 international donors dataset provides information regarding:  and more.,,"Sustainable Roofs Opportunity Map,Market Intelligence - Technographic Data,Fundamental data for international equities,International Trade Information :",3,
"Business Credit Reporting and Corporate Credit Rating Data for US, Europe, Africa, Asia and Latina America",Global Database,"Business Credit Reporting and Corporate Credit Rating Data for US, Europe, Africa, Asia and Latina America dataset provides information regarding: Business Credit Rating Data,Company Data and more.",,"U.S. Credit Union Operational Efficiency & Business Quality Ratings Q1 2020 to Q2 2021,Predictive Credit Intelligence,B2B Credit Risk Reports on Global companies,US , EUROPE AND ASIA EQUITY MARKETS DATASET :",5,"Business Credit Rating Data,Company Data"
Gravy Analytics Observations Data | People Movement (US and Global),Gravy Analytics,"Gravy Analytics Observations Data | People Movement (US and Global) dataset provides information regarding: Location Data,GPS Data,Consumer Lifestyle Data and more.",,"Real Weather Observations | Hourly, Sub-hourly, and Daily observations | 30+ variables | 30k+ worldwide locations available,Outlogic's Global Location Observation Panel (50M+ MAUs, 4B+ daily records), Compliant with GPDR and CCPA,Sky Watch EarthCache | Globla Earth Observation and Satellite Data,CustomWeather - Historical Hourly and Daily Weather Observations - 100 Years :",4,"Location Data,GPS Data,Consumer Lifestyle Data"
Gravy Analytics Visitations Data | Mobile Location Data USA (cleansed & highly-contextualized),Gravy Analytics,"Gravy Analytics Visitations Data | Mobile Location Data USA (cleansed & highly-contextualized) dataset provides information regarding: Economic Data,Location Data and more.",,"Alqami Human Mobility Data Global | location data, map data, clustering or contextualisation,InMarkets Visitation, Location & POI Data for USA and Canada with MAIDs (>200M Devices),Auto Dealership POI Visitation Data,VISIT Data - Visits to PoIs Location Data :",3,"Economic Data,Location Data"
Gravy Analytics Custom Area Visitors Global -- analyze foot traffic trends for custom areas via API or batch delivery,Gravy Analytics,"Gravy Analytics Custom Area Visitors Global -- analyze foot traffic trends for custom areas via API or batch delivery dataset provides information regarding: Location Data,Economic Data and more.",Trend Forecasting,"Gravy Analytics Personas Data USA -- enrich customer data via API or batch delivery,Gravy Analytics Trade Area Data Globally -- analyze where consumers travel from to shop, dine, and visit other places of commercial interest.,Edison Trends Custom Analytics - Transaction Data Service for USA, UK, Australia, Canada, India & Singapore,Custom Netlas.io Dataset (one-time delivery) :",4,"Location Data,Economic Data"
"Gravy Analytics Trade Area Data Globally -- analyze where consumers travel from to shop, dine, and visit other places of commercial interest.",Gravy Analytics,"Gravy Analytics Trade Area Data Globally -- analyze where consumers travel from to shop, dine, and visit other places of commercial interest. dataset provides information regarding: Individual Data,Tourism Data,Real Estate Data and more.","Economic Forecasting,Promotion Planning,Trend Forecasting","Gravy Analytics Custom Area Visitors Global -- analyze foot traffic trends for custom areas via API or batch delivery,TravelIQ,Echo Analytics - Raw Points-of-Interest Data in Europe,Tamoco Store Visits USA | visitation data to brands and Point-of-Interests :",3,"Individual Data,Tourism Data,Real Estate Data"
Gravy Analytics Custom Audience Creation USA & Canada -- intent audiences based on consumer visits to real-world places,Gravy Analytics,Gravy Analytics Custom Audience Creation USA & Canada -- intent audiences based on consumer visits to real-world places dataset provides information regarding: Demographic Data and more.,Targeted Marketing,"VISIT Local - OOH Attribution + Audiences based on Location Data (USA & Canada),PreciseTarget Advanced TV Audience | USA Audiences based on Customer Tastes (220 Million consumers),Custom Audiences: Audience Data for LATAM,Fifty: Audience Creation & Activation - Audience Data Service (North America, Europe, Asia) :",5,Demographic Data
German Company Data via API from official sources,Implisense,"German Company Data via API from official sources dataset provides information regarding: Business Registry Data,B2B Marketing Fit Data,Business Credit Rating Data and more.",,"X-Byte | Real Estate Market data global and API's from public sources,Oxylabs E-Commerce Data Worldwide - available via API & in real-time,Market data API, global coverage, 350 pricing sources,Coresignal B2B Data via Real-Time API / Global / Near-instant Scraping and Delivery of Member & Company Records :",4,"Business Registry Data,B2B Marketing Fit Data,Business Credit Rating Data"
Technographic Data | InfoClutch - Easily connect with technology users across the globe through technographic data | Tech Install Data,InfoClutch,"Technographic Data | InfoClutch - Easily connect with technology users across the globe through technographic data | Tech Install Data dataset provides information regarding: Firmographic Data,Technographics Data and more.",Lead Scoring,"Technographic Data - Connect with Decision Makers With Our Technographic Data | Tech Installs | Installed Base | Global Coverage,Technographic Data- Connect with technology top executives through technographic data, Worldwide (9 Million verified contacts) - Thomson Data,Wappalyzer Technology Installs on Websites - Crawl API - Technographic Data,Technographic Data Complete Tech Stack | Technographics Data + B2B Data + IT Intelligence :",3,"Firmographic Data,Technographics Data"
Total Automotive Profiles - U.S. Only,Infutor Data Solutions,"Total Automotive Profiles - U.S. Only dataset provides information regarding: Individual Data,Automotive Industry Data,Consumer Lifestyle Data and more.",,"Total Property Profiles - U.S. Only,IRIS(r) Views,Automotive Data - Reach Automotive Industry Executives With Our Robust Automotive Data - Global Coverage - 100M+ Business Records,Marketcheck Automotive API US & Canada (Gives Access To All Automotive Data, All In One Place) :",4,"Individual Data,Automotive Industry Data,Consumer Lifestyle Data"
Total Consumer Insights - U.S. Only,Infutor Data Solutions,"Total Consumer Insights - U.S. Only dataset provides information regarding: Consumer Lifestyle Data,Marketing Attribution Data,Individual Data and more.",Predictive Maintenance,"Total Mobile Ad IDs - U.S. Only,Consumer Insights for a Target Geography/POI,Mexico consumer Insights, Behavior and Trends,Social Media Listening | Consumer Insights | Social Media Data :",5,"Consumer Lifestyle Data,Marketing Attribution Data,Individual Data"
Total Mobile Ad IDs - U.S. Only,Infutor Data Solutions,"Total Mobile Ad IDs - U.S. Only dataset provides information regarding: Online/Mobile Data,Cross-Device Identity Data and more.",,"Total Property Profiles - U.S. Only,Adzapier MAID Graph (Mobile Advertising IDs) - 400MM Identities Connected,The Data Group: Mobile Ad IDs USA - 495 million digital devices and 3.5 billion MAID/hashed email pairs,Mobile Ad IDs Fresh, Daily MAID Data One of the largest COMPLIANT Repositories in the USA :",4,"Online/Mobile Data,Cross-Device Identity Data"
Total Property Profiles - U.S. Only,Infutor Data Solutions,"Total Property Profiles - U.S. Only dataset provides information regarding: Real Estate Data, Consumer Lifestyle Data and more.",,"Total Automotive Profiles - U.S. Only,Property Data - Reach Property Managers and Property Owners With Our Verified and Accurate Property Data, 100M+ Business Records,USA Nationwide Property Boundaries Data (155M properties),Datastream Real Property and New Home Owners File USA - Property Ownership Data :",3,"Real Estate Data, Consumer Lifestyle Data"
"InMarkets Visitation, Location & POI Data for USA and Canada without MAIDs (>200M Devices)",InMarket,"InMarkets Visitation, Location & POI Data for USA and Canada without MAIDs (>200M Devices) dataset provides information regarding: Tourism Data,Retail & Commerce Data,Online/Mobile Data,Location Data and more.",,"InMarkets Visitation, Location & POI Data for USA and Canada with MAIDs (>200M Devices),InMarkets Projected Visits Counts, Location & POI Data for USA and Canada with MAIDs (>200M Devices),VISIT Data - Visits to PoIs Location Data,Tamoco Aggregated Footfall Data USA (200M devices, 11M Point-of Interests) :",3,"Tourism Data,Retail & Commerce Data,Online/Mobile Data,Location Data"
"InMarkets Visitation, Location & POI Data for USA and Canada with MAIDs (>200M Devices)",InMarket,"InMarkets Visitation, Location & POI Data for USA and Canada with MAIDs (>200M Devices) dataset provides information regarding: Location Data,Tourism Data,Retail & Commerce Data and more.",,"InMarkets Visitation, Location & POI Data for USA and Canada without MAIDs (>200M Devices),InMarkets Projected Visits Counts, Location & POI Data for USA and Canada with MAIDs (>200M Devices),Tamoco Aggregated Footfall Data USA (200M devices, 11M Point-of Interests),VISIT Data - Visits to PoIs Location Data :",3,"Location Data,Tourism Data,Retail & Commerce Data"
"InMarkets Projected Visits Counts, Location & POI Data for USA and Canada with MAIDs (>200M Devices)",InMarket,"InMarkets Projected Visits Counts, Location & POI Data for USA and Canada with MAIDs (>200M Devices) dataset provides information regarding: Location Data,Company Data,Online/Mobile Data and more.",Behavioral Targeting,"InMarkets Visitation, Location & POI Data for USA and Canada without MAIDs (>200M Devices),InMarkets Visitation, Location & POI Data for USA and Canada with MAIDs (>200M Devices),VISIT Data - Visits to PoIs Location Data,Tamoco Aggregated Footfall Data USA (200M devices, 11M Point-of Interests) :",5,"Location Data,Company Data,Online/Mobile Data"
